NO,市区町村コード,都道府県名,市区町村名,名称,名称_カナ,住所,方書,緯度,経度,UTMポイント,開設される災害の種類（地震・津波）,開設される災害の種類（風水害）,開設される災害の種類（土砂災害）,開設される災害の種類（南海トラフ地震臨時情報）,電話番号,避難所面積平方メートル,備考
17,222127,静岡県,焼津市,大井川港コミュニティ防災センター,オオイガワコウコミュニティボウサイセンター,静岡県焼津市飯淵2160,,34.77983962,138.2975702,54STD52705195,○,○,,,ー,477,
18,222127,静岡県,焼津市,港小学校,ミナトショウガッコウ,静岡県焼津市石津港町40-2,,34.84102822,138.3271316,54STD55555870,○,○,,,(054)624-0210,1100,
19,222127,静岡県,焼津市,焼津東小学校,ヤイヅヒガシショウガッコウ,静岡県焼津市栄5-14-1,,34.86788346,138.3187131,54STD54966167,○,○,,,(054)628-6348,1032,
20,222127,静岡県,焼津市,焼津西小学校,ヤイヅニシショウガッコウ,静岡県焼津市塩津117-1,,34.86599739,138.3101429,54STD54076152,○,○,,○,(054)628-3064,1123,
21,222127,静岡県,焼津市,焼津南小学校,ヤイヅミナミショウガッコウ,静岡県焼津市焼津5-5-1,,34.86105357,138.3171261,54STD54736092,○,○,,,(054)628-2321,1121,
22,222127,静岡県,焼津市,小川小学校,コガワショウガッコウ,静岡県焼津市小川2525,,34.84983087,138.3162615,54STD54585970,○,○,,,(054)624-3097,1152,
23,222127,静岡県,焼津市,豊田小学校,トヨダショウガッコウ,静岡県焼津市五ヶ堀之内2,,34.86342764,138.2903738,54STD52336121,○,○,,○,(054)628-3201,1100,
24,222127,静岡県,焼津市,東益津小学校,ヒガシマシヅショウガッコウ,静岡県焼津市石脇上65,,34.88663033,138.3198499,54STD55016381,○,○,○,○,(054)628-4427,1100,
25,222127,静岡県,焼津市,大富小学校,オオトミショウガッコウ,静岡県焼津市中根新田637,,34.83413718,138.2946013,54STD52535798,○,○,,○,(054)624-4316,1100,
26,222127,静岡県,焼津市,和田小学校,ワダショウガッコウ,静岡県焼津市田尻541,,34.82755478,138.3209812,54STD54945723,○,○,,○,(054)624-4507,1041,
27,222127,静岡県,焼津市,黒石小学校,クロイシショウガッコウ,静岡県焼津市大住1246,,34.85073547,138.300699,54STD53165977,○,○,,,(054)629-4855,1100,
28,222127,静岡県,焼津市,大井川西小学校,オオイガワニシショウガッコウ,静岡県焼津市上泉1688-1,,34.81446236,138.2648296,54STD49865588,○,○,,,(054)622-0049,1192,
29,222127,静岡県,焼津市,大井川東小学校,オオイガワヒガシショウガッコウ,静岡県焼津市宗高428,,34.8076118,138.2931685,54STD52365509,○,○,,○,(054)622-0010,1159,
30,222127,静岡県,焼津市,大井川南小学校,オオイガワミナミショウガッコウ,静岡県焼津市吉永490,,34.79464099,138.2945717,54STD52525360,○,○,,○,(054)622-0104,1343,
31,222127,静岡県,焼津市,焼津中学校,ヤイヅチュウガッコウ,静岡県焼津市焼津2-10-28,,34.86487116,138.3121082,54STD54256132,○,○,,○,(054)628-7255,1678,
32,222127,静岡県,焼津市,大村中学校,オオムラチュウガッコウ,静岡県焼津市大村3-25-1,,34.87178479,138.3042764,54STD53586211,○,○,,○,(054)628-3851,1349,
33,222127,静岡県,焼津市,小川中学校,コガワチュウガッコウ,静岡県焼津市東小川4-21-1,,34.85302495,138.3136788,54STD54466005,○,○,,○,(054)628-3777,1359,
34,222127,静岡県,焼津市,港中学校,ミナトチュウガッコウ,静岡県焼津市田尻北584,,34.83841291,138.330118,54STD55925840,○,○,,,(054)624-6010,1518,
35,222127,静岡県,焼津市,豊田中学校,トヨダチュウガッコウ,静岡県焼津市小土301-2,,34.86809214,138.2931517,54STD52646176,○,○,,○,(054)627-1166,1355,
36,222127,静岡県,焼津市,東益津中学校,ヒガシマシヅチュウガッコウ,静岡県焼津市中里416,,34.88518667,138.3191073,54STD54986359,○,○,○,○,(054)628-4428,1323,
37,222127,静岡県,焼津市,大富中学校,オオトミチュウガッコウ,静岡県焼津市中根1-1,,34.8393193,138.298196,54STD52975857,○,○,,○,(054)624-4329,1541,
38,222127,静岡県,焼津市,和田中学校,ワダチュウガッコウ,静岡県焼津市田尻1984,,34.82647151,138.3209651,54STD55055708,○,○,,○,(054)624-4339,1432,
39,222127,静岡県,焼津市,大井川中学校,オオイガワチュウガッコウ,静岡県焼津市下江留191,,34.80115084,138.2815338,54STD51325442,○,○,,,(054)622-0038,1636,
40,222127,静岡県,焼津市,（県）焼津水産高等学校,ヤイヅスイサンコウトウガッコウ,静岡県焼津市焼津5-5-2,,34.8600236,138.3175439,54STD54806079,○,○,,,(054)628-6148,1380,
41,222127,静岡県,焼津市,（県）清流館高等学校,セイリュウカンコウトウガッコウ,静岡県焼津市上新田292-1,,34.82074429,138.274876,54STD50795662,○,○,,,(054)622-3411,2552,
42,222127,静岡県,焼津市,（県）焼津中央高等学校,ヤイヅチュウオウコウトウガッコウ,静岡県焼津市小土157-1,,34.86753068,138.2898049,54STD52206171,○,○,,,(054)628-6000,2611,
43,222127,静岡県,焼津市,大村地域交流センター,オオムラチイキコウリュウセンター,静岡県焼津市大覚寺3-5-5,,34.87410484,138.3007241,54STD53276240,○,○,,,(054)629-3351,1299,
44,222127,静岡県,焼津市,和田地域交流センター,ワダチイキコウリュウセンター,静岡県焼津市田尻1992-2,,34.82726415,138.3209704,54STD54995716,,○,,,(054)623-1570,2448,
45,222127,静岡県,焼津市,焼津地域交流センター,ヤイヅチイキコウリュウセンター,静岡県焼津市本町5-6-1,,34.86305468,138.3204072,54STD55046113,,○,,,(054)626-0888,1312,
46,222127,静岡県,焼津市,小川地域交流センター,コガワチイキコウリュウセンター,静岡県焼津市小川2724-1,,34.84899322,138.3131672,54STD54345958,,○,,,(054)624-8191,1498,
47,222127,静岡県,焼津市,港地域交流センター,ミナトチイキコウリュウセンター,静岡県焼津市石津港町40-1,,34.84122438,138.326203,54STD55515869,,○,,,(054)624-8855,900,
48,222127,静岡県,焼津市,東益津地域交流センター,ヒガシマシヅチイキコウリュウセンター,静岡県焼津市石脇上65,,34.88641911,138.3204561,54STD55126372,,○,○,,(054)628-2607,1417,
49,222127,静岡県,焼津市,豊田地域交流センター,トヨダチイキコウリュウセンター,静岡県焼津市小屋敷258-1,,34.86323168,138.2893649,54STD52206123,,○,,,(054)627-7310,917,
50,222127,静岡県,焼津市,大富地域交流センター,オオトミチイキコウリュウセンター,静岡県焼津市中根新田93-1,,34.83835882,138.2982541,54STD52945844,,○,,,(054)624-4302,1489,
51,222127,静岡県,焼津市,大井川地域交流センター,オオイガワチイキコウリュウセンター,静岡県焼津市宗高900,,34.80346707,138.2841055,54STD51545461,,○,,,(054)623-3111,1157,
52,222127,静岡県,焼津市,焼津文化会館,ヤイヅブンカカイカン,静岡県焼津市三ケ名1550,,34.86450239,138.3053423,54STD53666133,○,○,,,(054)627-3111,8806,
53,222127,静岡県,焼津市,大井川体育館,オオイガワタイイクカン,静岡県焼津市中島1183,,34.79673252,138.2725501,54STD50465389,○,,,,(054)622-5236,1440,
54,222127,静岡県,焼津市,大島体育館,オオジマタイイクカン,静岡県焼津市大島738,,34.82199503,138.2882724,54STD51985665,○,○,,,ー,619,
55,222127,静岡県,焼津市,保福島体育館,ホウフクジマタイイクカン,静岡県焼津市保福島662,,34.869834,138.281546,54STD51536197,○,,,,(054)628-2016,662,
56,222127,静岡県,焼津市,ディスカバリーパーク焼津天文科学館,ディスカバリーパークヤイヅテンモンカガクカン,静岡県焼津市田尻2968-1,,34.82279329,138.3316444,54STD55945663,,○,,,(054)625-0800,2828,
