都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_英語,POIコード,住所,方書,緯度,経度,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,料金（基本）,料金（詳細）,説明,説明_英語,アクセス方法,駐車場情報,バリアフリー情報,連絡先名称,連絡先電話番号,連絡先内線番号,画像,画像_ライセンス,URL,備考,区分1,区分2,休業日,最大収容人数,バリアフリー対応,身障者用駐車場有り,車イスでの入店可能,車イストイレあり,多目的トイレあり,バリアフリーその他,バリアフリー詳細情報_他_備考,HP有無,焼津温泉,宿泊施設_部屋数,宿泊施設_温泉,タグ1,タグ2,タグ3,ふるさと納税
222127,2024000121,静岡県,焼津市,手火山造りかつおなまりぶし専門店　進藤登代治商店,テビヤマヅクリカツオナマリブシセンモンテンシンドウトヨジショウテン,,,静岡県焼津市大村2-29-21,,34.869952,138.3065,,,,9:00～17:00,,,こだわりの【手火山造りかつおなまりぶし】はもちろん、『ワンにゃんかつお』としてワンにゃんのおやつとしても大人気です。150円～。,,,普2台,,,054-628-3031,,,,https://saradakatuo.shop-pro.jp/,【掲載先】焼津マップ,お買い物,魚・水産加工品,日曜,,無,,,,,,,有,,,,,カツオ,,
222127,2024000122,静岡県,焼津市,石原水産（株）マリンステーション,イシハラスイサンマリンステーション,,,静岡県焼津市八楠2-5-2,,34.878473,138.311495,,,,9:00～16:00,,,かつお・まぐろ・サーモン専門店。自社工場製品を販売しています。SDG’s取組店。土曜日と毎月14日は「いしはらの日」セール！,,,普6台（セール日 臨時駐車場あり）,,,054-629-7420,,,,http://www.ishiharasuisan.co.jp/,【掲載先】焼津マップ,お買い物,魚・水産加工品,日曜・月曜（祝日及び14日が日・月の場合は翌平日休）,,有,,〇,,〇,,段差無し,有,,,,,マグロ;カツオ;ウナギ,,
222127,2024000123,静岡県,焼津市,いちまるマルシェ,イチマルマルシェ,,,静岡県焼津市浜当目1-3-23,,34.878481,138.326425,,,,9:00～16:00,,,外食産業向け業務用冷凍食品工場の直売所。プロユースのローストビーフやビーフシチュー等、多品目を販売中。,,,普50台,,,054-628-4115,,,,https://www.bras-de-chef.jp/marche/,【掲載先】焼津マップ,お買い物,魚・水産加工品,土曜・日曜・祝日、GW、夏季・冬季休暇　,,無,,,,,,,有,,,,,マグロ,,
222127,2024000124,静岡県,焼津市,（株）サスエ前田魚店　西小川店,サスエマエダウオテンニシコガワテン,,,静岡県焼津市西小川4-15-7,,34.853693,138.305765,,,,平日12:00～17:30　土曜11：00～17:30,,,港町焼津ならではの老舗魚屋。国内外のレストランから一般小売りまで、新鮮な魚を豊富に揃えています。,,,普30台,,,054-626-0003,,,,https://sasue-maeda.com/,【掲載先】焼津マップ,お買い物,魚・水産加工品,日曜・月曜,,無,,,,,,,有,,,,,マグロ;カツオ;桜エビ;シラス;サバ,,
222127,2024000125,静岡県,焼津市,手火山造り鰹節のやまじゅう,テビヤマヅクリカツオブシノヤマジュウ,,,静岡県焼津市小川新町5-4-9,,34.852331,138.318599,,,,月曜～金曜9:30～17:00　土曜9:00～11:30,,,伝統の手火山造りで鰹節製造。第20回全国鰹節類品評会にて農林水産大臣賞受賞。店舗定休日も自販機で鰹節販売中。　【体験】工場見学（要予約　少人数可）,,,普15台(中型バス可),,,054-628-3677,,,,https://www.yama10.jp/,【掲載先】焼津マップ,お買い物,魚・水産加工品,日曜・祝日,,無,,,,,,,有,,,,,カツオ,,
222127,2024000126,静岡県,焼津市,カネヨ工場直売所,カネヨコウジョウチョクバイジョ,,,静岡県焼津市小川新町3-9-3,,34.854952,138.322715,,,,8:00～16:00,,,"農林水産大臣賞受賞の鰹なまり節、甘口の鰹鮪の佃煮、猫様用、わんこ様用を工場直販。地方発送も承ります。
",,,普5台,,,054-628-3327,,,,https://yaizukaneyo.com/,【掲載先】焼津マップ,お買い物,魚・水産加工品,土曜・日曜・祝日,,有,,〇,,,,,有,,,,,マグロ;カツオ;サバ,,
222127,2024000127,静岡県,焼津市,ヤキレイ　焼津冷蔵（株）,ヤキレイヤイヅレイゾウ,,,静岡県焼津市小川新町5-8-2,,34.852429,138.320546,,,,8:30～16:00,,,厳選した国産原料で〆さば、塩さば・穴子・鰻蒲焼きの加工販売を行っています。極みの鯖寿司も好評販売中です!!,,,普10台,,,054-627-0181,,,,http://www.yakirei.co.jp/,【掲載先】焼津マップ,お買い物,魚・水産加工品,土曜・日曜・祝日　※土曜はお問合せください,,無,,,,,,,有,,,,,ウナギ;サバ,,
222127,2024000128,静岡県,焼津市,こだわりの鰹節　マルツマエダ商店,コダワリノカツオブシマルツマエダショウテン,,,静岡県焼津市小川新町5-4-17,,34.852275,138.319224,,,,9:00～17:00,,,削りたての花かつおや粉かつお、厚削りを工場直売価格にてご用意しております。お気軽にどうぞ。,,,普2台,,,054-628-2059,,,,https://marutsu-maeda.com/,【掲載先】焼津マップ,お買い物,魚・水産加工品,土曜午後・日曜・祝日,,無,,,,,,,有,,,,,カツオ,,
222127,2024000129,静岡県,焼津市,だしの堅魚屋（かたうおや）　（株）新丸正,ダシノカタウオヤシンマルショウ,,,静岡県焼津市三和1384-1,,34.831133,138.302983,,,,9:00～17:30,,,だしにまじめに一貫生産。農林水産大臣賞受賞の削り節「駿河ふぶき」、焼津かつおせんべい、だしパック、ふりかけ等。,,,普5台,,,054-624-5158,,,,https://www.katauoya.com/,【掲載先】焼津マップ,お買い物,魚・水産加工品,日曜・祝日・年末年始,,有,,〇,,,,店舗入り口にスロープ有り。,有,,,,,カツオ,,
222127,2024000130,静岡県,焼津市,あまる齋藤商店,アマルサイトウショウテン,,,静岡県焼津市利右衛門384-1,,34.791177,138.289334,,,,8:00～17:00,,,焼津・一眞（いっしん）　鯖の専門店です。創業70年、昔ながらの伝統製法で美味しい鯖をお届けします。,,,普5台/大型１台,,,054-631-4585,,,,https://amalu.co.jp/,【掲載先】焼津マップ,お買い物,魚・水産加工品,水曜・日曜・土曜午後,,有,,〇,,,,玄関フラット。ドアが大きく開閉。（小売販売は玄関先）,有,,,,,サバ,,
222127,2024000131,静岡県,焼津市,大井川港桜海老商業協同組合,オオイガワコウサクラエビショウギョウキョウドウクミアイ,,,静岡県焼津市飯淵1960,,34.783598,138.294934,,,,10:00～16:00（事務局）,,,桜エビは全国で駿河湾だけでしか水揚げされていません。生やかき揚げで本場の味をお召し上がりください。,,,,,,054-622-0453,,,,http://www.kanemann.com/sakuraebi/index.html,【掲載先】焼津マップ,お買い物,魚・水産加工品,土曜・日曜・祝日,,無,,,,,,,有,,,,,桜エビ,,
222127,2024000132,静岡県,焼津市,やましち鈴木商店,ヤマシチスズキショウテン,,,静岡県焼津市吉永1423-4,,34.789812,138.301112,,,,9:30～17:00（日曜・祝日は～16:00）,,,代々引き継ぐ伝統的な製法で仕上げた天日干し桜えびで農林水産大臣賞受賞。本当の美味しさと価値をお届け。https://yamashichi.shop-pro.jp/,,,普10台/マイクロ１台,,,054-622-7744,,,,https://yama-shichi.shop-pro.jp/,【掲載先】焼津マップ,お買い物,魚・水産加工品,水曜,,有,,〇,,,,,有,,,,,桜エビ;シラス,,
222127,2024000133,静岡県,焼津市,やきつ家,ヤキツヤ,,,静岡県焼津市栄町3-1-13,,34.870425,138.319865,,,,10:00～17:30,,,元祖魚がし・鰹縞「森省」の取扱店。魚がしシャツ・鰹縞シャツを中心に水産加工品等の特産品を幅広く販売しているアンテナショップです。,,,※商店街の駐車場をご利用ください,,,054-627-6415,,,,http://812yakitsuya.web.fc2.com/,【掲載先】焼津マップ,お買い物,魚河岸シャツ・染物・衣料,水曜,,無,,,,,,出入口に段差はあるが、車いすでの入店可。,有,,,,,,,
222127,2024000134,静岡県,焼津市,マルサ,マルサ,,,静岡県焼津市中港2-5-7,,34.871771,138.323563,,,,9:00～18:00(木曜15:00まで),,,"「魚河岸シャツ」3,850円～　豊富な柄、サイズも4Ｌまで揃えています。ウオテコ、ウオパン等パンツ類も充実！",,,普3台,,,054-629-6032,,,,https://marusa03.com/,【掲載先】焼津マップ,お買い物,魚河岸シャツ・染物・衣料,水曜・日曜,,無,,,,,,,有,,,,,,,
222127,2024000135,静岡県,焼津市,リトルエンゼル　昭和通店,リトルエンゼルショウワドオリテン,,,静岡県焼津市本町4-10-17,,34.863452,138.321636,,,,10:00～17:00,,,焼津名物魚河岸シャツ　毎年新柄が増えて、一年中お買い物ができます。たのしい小物も手づくりで人気。,,,普5台,,,054-627-4977,,,,http://www.yaizu-uogashi.jp/,【掲載先】焼津マップ,お買い物,魚河岸シャツ・染物・衣料,火曜・水曜,,有,,〇,,,,※昭和通店、小川店ともバリアフリーあり,有,,,,,,,
222127,2024000136,静岡県,焼津市,リトルエンゼル　小川店,リトルエンゼルコガワテン,,,焼津市西小川4-2-3,,34.853348,138.308556,,,,10:00～19:00,,,焼津名物魚河岸シャツ　毎年新柄が増えて、一年中お買い物ができます。たのしい小物も手づくりで人気。,,,普5台,,,054-627-3050,,,,http://www.yaizu-uogashi.jp/,【掲載先】焼津マップ,お買い物,魚河岸シャツ・染物・衣料,水曜,,有,,〇,,,,※昭和通店、小川店ともバリアフリーあり,有,,,,,,,
222127,2024000137,静岡県,焼津市,髙橋染物店,タカハシソメモノテン,,,静岡県焼津市小川新町1-12-10,,34.85814,138.321897,,,,9:00～18:00,,,大漁旗、幟、のれん、手ぬぐい、魚河岸シャツ、魚がしバッグなどを専門に染めています。,,,普1台,,,054-628-2554,,,,,【掲載先】焼津マップ,お買い物,魚河岸シャツ・染物・衣料,不定休,,無,,,,,,,無,,,,,,,
222127,2024000138,静岡県,焼津市,魚河岸シャツ　濱いち屋,ウオガシシャツハマイチヤ,,,静岡県焼津市中里542-1,,34.881883,138.319221,,,,11:00～18:00（7月～8月10:00～19:00）,,,子供用から大人用まで最大級の品揃えを誇る魚河岸シャツ&手ぬぐい専門店。通販サイトも充実しています。,,,普5台,,,054-295-6666,,,,https://sativa812.com/,【掲載先】焼津マップ,お買い物,魚河岸シャツ・染物・衣料,火曜（7～8月は無休）,,無,,,,,,,有,,,,,,,
222127,2024000139,静岡県,焼津市,杉山安商店,スギヤマヤスシショウテン,,,静岡県焼津市三ケ名307,,34.854996,138.300326,,,,13:00～18:00,,,魚河岸シャツを販売しています。柄の豊富さと縫製の丁寧さが自慢です。５Ｌサイズも充実しています！,,,普8台/大型1台,,,054-628-3012,,,,https://sugiyasu-uogashi.com/,【掲載先】焼津マップ,お買い物,魚河岸シャツ・染物・衣料,5～10月は火曜/11～4月は土曜・日曜・祝日,,有,,〇,,,,※段差はありますが、店員が車いすの方も入れるようお手伝いします。,有,,,,,,,
222127,2024000140,静岡県,焼津市,ハンドメイド＆雑貨のお店　ＫＵＲＩＳＡＮＣＨＩ,ハンドメイドアンドザッカノオミセクリサンチ,,,静岡県焼津市栄町3-3-32,,34.869799,138.320263,,,,10:00～17:00（日曜は15:00まで）,,,全国各地より80名以上の作家さんのハンドメイド作品を販売しています。駄菓子屋もあるので子連れでも楽しめます。※青木神社　西宮神社　船玉浦神社の御朱印あり（御朱印あり／御朱印帳あり）,,,※商店街の駐車場をご利用ください,,,なし,,,,https://www.instagram.com/kurisanchi/,【掲載先】焼津マップ,お買い物,魚河岸シャツ・染物・衣料,水曜,,無,,,,,,,有,,,,,,,
222127,2024000141,静岡県,焼津市,ＧＡＭＥ・ランドリー　ＵＳＡ釣具店,ゲームランドリーユーエスエーツリグテン,,,静岡県焼津市石津港町2-4,,34.844585,138.327029,,,,6:00～23:00　冬季7:00～23:00　土日・祝祭日は30分繰り上げて営業（天候等諸事情により閉店を早める場合あり。詳しくはブログ参照）,,,"釣具各種（海づりセット3,300円～など）、釣エサ各種販売。夜間・早朝も。レンタル竿1日700円あります。保証金300円",,,普13台,,,054-624-5237,,,,http://gameusa.blog.fc2.com/,【掲載先】焼津マップ,お買い物,釣具,木曜,,無,,,,,,,有,,,,,,,
222127,2024000142,静岡県,焼津市,村松釣具店,ムラマツツリグテン,,,静岡県焼津市利右衛門2720-20,,34.781527,138.298359,,,,7:00～18:00/冬期7:00～17:00（土曜・日曜・祝日は6:00～）,,,大井川港目の前。釣場案内、釣具、エサ、遊漁案内、釣情報他,,,普20台,,,054-622-2119,,,,,【掲載先】焼津マップ,お買い物,釣具,元日,,無,,,,,,,無,,,,,,,
222127,2024000143,静岡県,焼津市,おかしの国,オカシノクニ,,,静岡県焼津市栄町5-10-25,,34.868695,138.320536,,,,11:00～17:30,,,たくさんのお菓子やおもちゃがあります。是非お気軽にお立ち寄りください。Twitter @okashino92,,,普2台,,,054-687-9177,,,,https://twitter.com/okashino92,【掲載先】焼津マップ,お買い物,お菓子,月曜～金曜,,無,,,,,,,有,,,,,,,
222127,2024000144,静岡県,焼津市,御菓子司　角屋　,オカシツカサカドヤ,,,静岡県焼津市本町5-7-8,,34.862755,138.321584,,,,10:00～18:30,,,かつおサブレやみそまんじゅうや季節の和洋菓子を販売しています。,,,お店から左隣1台又は、アトレ庁舎駐車場をご利用ください,,,054-628-3870,,,,http://web.thn.jp/yaizukadoya/index.html,【掲載先】焼津マップ,お買い物,お菓子,水曜（行事により不定休）,,有,,〇,,,,,有,,,,,,,
222127,2024000145,静岡県,焼津市,郷土菓子かしはる西焼津総本店,キョウドガシカシハルニシヤイヅソウホンテン,,,静岡県焼津市小柳津515-3,,34.85393,138.288454,,,,9:00～18:00,,,焼津土産に美味しいお菓子をぜひどうぞ！！他店舗情報、商品情報はＨＰへ　https://www.kashiharu.com/,,,普20台/大型1台,,,054-628-1100,,,,https://kashiharu.com/,【掲載先】焼津マップ,お買い物,お菓子,年中無休,,有,〇,〇,,,,身障者用駐車場有り。出入り口の段差無し。自動ドアあり。,有,,,,,,,
222127,2024000146,静岡県,焼津市,焼津みそまん学会,ヤイヅミソマンガッカイ,,,静岡県焼津市栄町4丁目1-3,,34.866236,138.30226,,,,店舗により違いあり,,,30日限定（27日まで予約可）　焼津みそまん学会店舗詰め合わせの予約販売や体験型企画。地元文化菓子再認知の活動も。　,,,店舗により違いあり,,(会長　吉野）,054-628-3926,,,,https://naotora-code.tumblr.com/,【掲載先】焼津マップ,お買い物,お菓子,店舗により違いあり,,無（各店による）,,,,,,,有,,,,,,,
222127,2024000147,静岡県,焼津市,トレジュエ,トレジュエ,,,静岡県焼津市祢宜島424-9,,34.840088,138.31077,,,,10:00～18:30,,,"トレーラーハウスを利用した新しいスタイルのケーキ屋さん。バースデーケーキ、プリンが人気です。　インスタ@tresjouer
",,,普４台,,,054-397-5053,,,,https://www.instagram.com/tresjouer/,【掲載先】焼津マップ,お買い物,お菓子,水曜・他 臨時休業あり,,無,,,,,,,無,,,,,,,
222127,2024000148,静岡県,焼津市,あとりえMOMO,アトリエモモ,,,静岡県焼津市吉永1937-1,,34.791579,138.304148,,,,10:00～18:30,,,焼津のおいしいケーキ屋さん。キャラメルシュー、季節のフルーツのタルトも人気です。伊勢神宮奉納ドーナツなど焼き菓子もおすすめ。,,,普8台,,,054-622-2262,,,,https://www.ateliermomo.com/,【掲載先】焼津マップ,お買い物,お菓子,年中無休,,有,,〇,,,,,有,,,,,,,
222127,2024000149,静岡県,焼津市,茶郷山いち,サゴウヤマイチ,,,静岡県焼津市駅北3-15-28,,34.874729,138.31492,,,,9:00～18:00,,,緑茶や米粉の焼ドーナツを販売しています。最新情報はインスタグラムで。35yamaichi,,,普5台,,,054-629-6121,,,,https://www.instagram.com/35yamaichi/,【掲載先】焼津マップ,お買い物,お茶,日曜,,有,〇,〇,,,,,有,,,,,,,
