№,要配慮者利用施設名称,所管課,郵便番号,所在地,電話番号,区分,避難確保計画対象,地域防災計画分類,緯度,経度,津波浸水レベル,高潮浸水レベル
261,大井川東小学校,学校教育課,421-0205,焼津市宗高428,054-622-0010,小学校,対象外,⑥学校,34.80765951,138.2931009,区域外,
260,黒石小学校,学校教育課,425-0072,焼津市大住1246,054-629-4855,小学校,対象外,⑥学校,34.8506014,138.3006573,区域外,
259,港小学校,学校教育課,425-0042,焼津市石津港町40-2,054-624-0210,小学校,○,⑥学校,34.84104519,138.3270774,3,4
258,和田小学校,学校教育課,425-0052,焼津市田尻541,054-624-4507,小学校,対象外,⑥学校,34.82764269,138.3209581,区域外,
257,大富小学校,学校教育課,425-0062,焼津市中根新田637,054-624-4316,小学校,対象外,⑥学校,34.83412462,138.2945486,区域外,
256,東益津小学校,学校教育課,425-0015,焼津市石脇上65,054-628-4427,小学校,対象外,⑥学校,34.88643039,138.3204861,区域外,
255,小川小学校,学校教育課,425-0033,焼津市南小川2-3-5,054-624-3097,小学校,対象外,⑥学校,34.84976698,138.3168962,1,
254,豊田小学校,学校教育課,425-0077,焼津市五ケ堀之内2,054-628-3201,小学校,対象外,⑥学校,34.86335612,138.2903087,区域外,
253,焼津南小学校,学校教育課,425-0026,焼津市焼津5-5-1,054-628-2321,小学校,対象外,⑥学校,34.86070936,138.3170888,3,
252,焼津西小学校,学校教育課,425-0085,焼津市塩津117-1,054-628-3064,小学校,対象外,⑥学校,34.86601535,138.3100692,区域外,
251,焼津東小学校,学校教育課,425-0027,焼津市栄町5-14-1,054-628-6348,小学校,対象外,⑥学校,34.8679503,138.3180819,3,
250,焼津豊田幼稚園,保育・幼稚園課,425-0086,焼津市小土1059-1,054-628-4004,幼稚園（私立）,○,⑤幼稚園,34.86354601,138.2886608,区域外,
249,焼津中央幼稚園,保育・幼稚園課,425-0036,焼津市西小川1-2-14,054-628-9612,幼稚園（私立）,○,⑤幼稚園,34.8608979,138.3118829,1,4
248,焼津幼稚園,保育・幼稚園課,425-0026,焼津市焼津5-4-2,054-628-2851,幼稚園（私立）,○,⑤幼稚園,34.86130235,138.318456,3,4
247,認定こども園三和幼稚園,保育・幼稚園課,425-0064,焼津市三和614-2,054-624-0046,認定こども園（私立）,対象外,⑤幼稚園,34.8260357,138.2996688,区域外,
246,みやじま幼稚園,保育・幼稚園課,425-0071,焼津市三ケ名807-1,054-628-9084,幼稚園（私立）,○,⑤幼稚園,34.85992269,138.3017757,区域外,
245,みなと幼稚園,保育・幼稚園課,425-0021,焼津市中港1-7-23,054-628-2736,幼稚園（私立）,○,⑤幼稚園,34.87323975,138.3220611,,4
244,まどか幼稚園,保育・幼稚園課,425-0051,焼津市田尻北1223-2,054-624-6415,幼稚園（私立）,○,⑤幼稚園,34.84074517,138.3338976,,4
243,西町幼稚園,保育・幼稚園課,425-0082,焼津市大村1-12,054-629-3277,幼稚園（私立）,○,⑤幼稚園,34.87436306,138.3081269,,
242,すみれ台幼稚園,保育・幼稚園課,425-0053,焼津市すみれ台1-25-1,054-623-1545,幼稚園（私立）,○,⑤幼稚園,34.8309687,138.324592,,3
241,小川幼稚園,保育・幼稚園課,425-0035,焼津市東小川6-21-4,054-629-2188,幼稚園（私立）,○,⑤幼稚園,34.85284288,138.3121384,,1
240,新屋幼稚園,保育・幼稚園課,425-0022,焼津市本町1-1-10,054-628-3895,幼稚園（私立）,○,⑤幼稚園,34.86873915,138.3219444,,4
239,大井川南幼稚園,保育・幼稚園課,421-0211,焼津市吉永334-2,054-622-5147,幼稚園（市立）,○,⑤幼稚園,34.79601915,138.2902094,,
238,大井川西幼稚園,保育・幼稚園課,421-0218,焼津市下江留2300-1,054-622-4187,幼稚園（市立）,対象外,⑤幼稚園,34.81462185,138.2664163,,
236,静浜幼稚園,保育・幼稚園課,421-0205,焼津市宗高88,054-622-0101,幼稚園（市立）,対象外,⑤幼稚園,34.81382785,138.2840687,,
235,さつき幼稚園,保育・幼稚園課,425-0088,焼津市大覚寺3-5-1,054-627-3902,幼稚園（市立）,○,⑤幼稚園,34.87351237,138.3007685,,
234,大富幼稚園,保育・幼稚園課,425-0062,焼津市中根新田638,054-624-3668,幼稚園（市立）,対象外,⑤幼稚園,34.83371745,138.2937779,,
233,さくらの家,こども相談課,425-0053,焼津市すみれ台1-3-13,054-623-3517,地域小規模児童養護施設,○,④児童福祉施設,34.8291,138.3152,,2
232,春風寮,こども相談課,425-0052,焼津市田尻55番地の１,054-624-7402,児童養護施設,対象外,④児童福祉施設,34.8295,138.3148,,
231,焼津市ターントクルこども館,子育て支援課,425-0027,焼津市栄町五丁目1番1号,054-631-6165,子育て支援施設,○,④児童福祉施設,34.8687,138.3209,,4
230,親子ふれあい広場,子育て支援課,425-0022,焼津市本町5-6-1,054-626-3388,子育て支援センター,○,④児童福祉施設,34.86304009,138.3204037,,4
229,子育てサポートルーム,子育て支援課,425-0088,焼津市大覚寺3-2-2,054-627-2999,子育て支援センター,対象外,④児童福祉施設,34.87587185,138.3045749,,
228,大井川児童センターとまとぴあ,子育て支援課,421-0205,焼津市宗高1205-1,054-662-1300,児童センター,対象外,④児童福祉施設,34.80775228,138.287366,,
227,保育園ミモザ,保育・幼稚園課,425-0036,焼津市西小川7-2-1,054-625-8230,認可外保育施設（企業主導型保育事業）,○,④児童福祉施設,34.85159776,138.3081907,,
226,Little Walkers焼津中央,保育・幼稚園課,425-0036,焼津市西小川二丁目10－23,054-625-7575,小規模保育事業所,○,④児童福祉施設,34.86082058,138.3089407,,1
225,COCORO保育園,保育・幼稚園課,425-0058,焼津市北新田396-1,054-637-9215,小規模保育事業所,○,④児童福祉施設,34.83419976,138.3213886,,4
224,あいキッズランド渚園,保育・幼稚園課,425-0085,焼津市塩津256-6,054-668-9580,小規模保育事業所,○,④児童福祉施設,34.86856825,138.3089163,,3
223,八楠のんのん保育園,保育・幼稚園課,425-0091,焼津市八楠4-17-14,054-629-1700,小規模保育事業所,○,④児童福祉施設,34.87878771,138.3031866,,
222,memory tree柳新屋保育園,保育・幼稚園課,425-0074,焼津市柳新屋886-1,054-631-6521,小規模保育事業所,○,④児童福祉施設,34.85853054,138.2892972,,
221,memory tree八楠保育園,保育・幼稚園課,425-0091,焼津市八楠4-12-19,054-631-6856,小規模保育事業所,○,④児童福祉施設,34.88029026,138.305025,,
220,保育所グローアップ大富園,保育・幼稚園課,425-0068,焼津市中新田1091-2,054-631-6715,小規模保育事業所,対象外,④児童福祉施設,34.8371,138.2888,区域外,
219,保育所ぷちはうす,保育・幼稚園課,425-0075,焼津市西焼津14-14,054-620-2345,小規模保育事業所,○,④児童福祉施設,34.86021484,138.2846853,区域外,
218,焼津の星保育園,保育・幼稚園課,425-0073,焼津市小柳津638-4,054-625-9810,認可外保育施設（企業主導型保育事業）,対象外,④児童福祉施設,34.8536,138.29,区域外,
217,保育園たぁそびさん,保育・幼稚園課,421-0218,焼津市下江留1398-1,054-664-3101,認可外保育施設（企業主導型保育事業）,○,④児童福祉施設,34.80859348,138.27699,区域外,
216,プティ焼津園,保育・幼稚園課,425-0048,焼津市東道原9-15,054-686-2388,認可外保育施設（企業主導型保育事業）,○,④児童福祉施設,34.85544352,138.3138463,区域外,
215,岡本石井病院保育所Nature Kids,保育・幼稚園課,425-0036,焼津市西小川5-17-17,054-629-3575,認可外保育施設（企業主導型保育事業）,○,④児童福祉施設,34.85975369,138.3067714,区域外,
214,田子重にしやいづ保育所,保育・幼稚園課,425-0073,焼津市小柳津624,054-625-8270,認可外保育施設（企業主導型保育事業）,○,④児童福祉施設,34.85277642,138.2897597,区域外,
212,CRECHE TIA SUZI（ｸﾚｼ ﾁｱ ｽｰｼﾞｨ）,保育・幼稚園課,421-0213,焼津市飯淵2080,090-4156-3990,認可外保育施設,○,④児童福祉施設,34.78092448,138.2967681,4,1
211,もりのくまさん保育園,保育・幼稚園課,425-0071,焼津市三ケ名558-4,054-620-8070,事業所内保育事業所,○,④児童福祉施設,34.85676568,138.3013753,区域外,
210,ちびっこらんど西焼津園,保育・幼稚園課,425-0074,焼津市柳新屋646-1　Ａ－oneyokoyamaB-２,054-626-0132,認可外保育施設,○,④児童福祉施設,34.85371745,138.2893642,区域外,
209,保育所きぼう焼津こがわ園,保育・幼稚園課,425-0036,焼津市西小川2-7-9,054-626-8819,小規模保育事業所,○,④児童福祉施設,34.86005751,138.3084573,区域外,2
208,小土のんのん保育園,保育・幼稚園課,425-0086,焼津市小土300-5,054-631-6889,小規模保育事業所,○,④児童福祉施設,34.86749919,138.2923581,区域外,
207,memory tree西小川保育園,保育・幼稚園課,425-0036,焼津市西小川5-2-1,054-639-9211,小規模保育事業所,○,④児童福祉施設,34.85907335,138.3080735,区域外,1
206,あいキッズランド塩津北園,保育・幼稚園課,425-0085,焼津市塩津256-4,054-625-8395,小規模保育事業所,○,④児童福祉施設,34.86851942,138.3115839,区域外,3
205,保育所グローアップ石津園,保育・幼稚園課,425-0041,焼津市石津2-2-20,054-639-5821,小規模保育事業所,○,④児童福祉施設,34.84347493,138.3240989,区域外,
204,memory tree焼津保育園,保育・幼稚園課,425-0026,焼津市焼津4-11-7,054-625-8989,小規模保育事業所,○,④児童福祉施設,34.8616116,138.3133952,2,4
203,焼津のんのん保育園,保育・幼稚園課,425-0074,焼津市柳新屋956-3,054-625-7978,小規模保育事業所,○,④児童福祉施設,34.85899414,138.2905314,区域外,
202,常緑保育園,保育・幼稚園課,425-0071,焼津市三ケ名1175,054-629-4753,小規模保育事業所・認可外保育施設,○,④児童福祉施設,34.86246419,138.3056234,区域外,
201,保育所きぼう東こがわ園,保育・幼稚園課,425-0035,焼津市東小川6-8-13,054-626-8008,小規模保育事業所,○,④児童福祉施設,34.85328776,138.3095247,区域外,
200,なかよし大富保育園,保育・幼稚園課,425-0068,焼津市中新田1148-1,054-623-2225,保育所,対象外,④児童福祉施設,34.83583143,138.2873991,区域外,
199,明星保育園,保育・幼稚園課,425-0054,焼津市一色448,054-623-2727,保育所,○,④児童福祉施設,34.8238048,138.3166686,区域外,1
198,第三ゆりかご保育所（子育て支援センター「１・２・３」含む）,保育・幼稚園課,425-0054,焼津市一色722,054-623-1551,保育所,○,④児童福祉施設,34.83089979,138.3110769,区域外,
197,ゆりかご保育所,保育・幼稚園課,425-0077,焼津市五ケ堀之内759-1,054-629-3637,保育所,○,④児童福祉施設,34.86078098,138.2989518,区域外,
196,ふたば保育園,保育・幼稚園課,425-0086,焼津市小土79-1,054-628-5720,保育所,○,④児童福祉施設,34.86674506,138.2855534,区域外,
195,たかくさ保育園（子育て支援センター「たかくさ」含む）,保育・幼稚園課,425-0004,焼津市坂本449-2,054-629-5430,保育所,○,④児童福祉施設,34.88973714,138.3122081,区域外,
194,なかよし保育園（子育て広場「なかよし」含む）,保育・幼稚園課,425-0036,焼津市西小川6-15-6,054-629-2525,保育所,○,④児童福祉施設,34.8551001,138.3027406,区域外,
193,さくら保育園（子育て支援センター「さくら」含む）,保育・幼稚園課,425-0058,焼津市北新田378-1,054-624-3073,保育所,○,④児童福祉施設,34.83354628,138.3222458,区域外,3
192,焼津南保育園（子育て支援センター「みなみ」含む）,保育・幼稚園課,425-0026,焼津市焼津5-13-14,054-629-0240,保育所,○,④児童福祉施設,34.8619751,138.3164472,2,4
191,焼津市立大井川保育園,保育・幼稚園課,421-0218,焼津市下江留41,054-622-7420,保育所,○,④児童福祉施設,34.80176948,138.2841355,区域外,
190,焼津市立石津保育園,保育・幼稚園課,425-0043,焼津市石津中町16-7,054-624-5839,保育所,○,④児童福祉施設,34.84141059,138.3246376,3,4
189,焼津市立旭町保育園,保育・幼稚園課,425-0028,焼津市駅北3-17-10,054-627-3232,保育所,○,④児童福祉施設,34.8763973,138.3138276,区域外,1
188,焼津市立小川保育園,保育・幼稚園課,425-0035,焼津市東小川4-21-11,054-628-4349,保育所,○,④児童福祉施設,34.85282986,138.3136024,区域外,1
187,ぞうさん放課後児童クラブ・大富,家庭支援課,425-0062,焼津市中根新田541-2,054-639-6335,児童厚生施設（放課後児童クラブ）,○,④児童福祉施設,34.8345,138.296,区域外,
186,ぞうさん放課後児童クラブ・豊田,家庭支援課,425-0086,焼津市小土973-15,054-620-2338,児童厚生施設（放課後児童クラブ）,○,④児童福祉施設,34.865,138.2928,区域外,
185,学童保育オレンジ,家庭支援課,425-0077,焼津市五ヶ堀之内1156-3,054-397-0186,児童厚生施設（放課後児童クラブ）,○,④児童福祉施設,34.85896077,138.2949547,区域外,
184,ほしのこクラブ,家庭支援課,425-0052,焼津市田尻1992-2,054-625-8401,児童厚生施設（放課後児童クラブ）,○,④児童福祉施設,34.82734266,138.3209893,区域外,4
183,かるがも児童クラブ・小川,家庭支援課,425-0035,焼津市東小川7-10-5,054-639-5655,児童厚生施設（放課後児童クラブ）,○,④児童福祉施設,34.85150309,138.3125551,区域外,
182,きっずらんどすまいる,家庭支援課,421-0206,焼津市上新田697-7,054-662-1881,児童厚生施設（放課後児童クラブ）,対象外,④児童福祉施設,34.81811795,138.2722686,区域外,
181,学童クラブはちみつ,家庭支援課,425-0035,焼津市東小川4丁目23-25,054-626-9088,児童厚生施設（放課後児童クラブ）,○,④児童福祉施設,34.85197184,138.3146333,区域外,3
180,かるがも児童クラブ・大住,家庭支援課,425-0072,焼津市大住638-1,054-637-9344,児童厚生施設（放課後児童クラブ）,対象外,④児童福祉施設,34.84825955,138.2905764,区域外,
179,おおとみキッズ,家庭支援課,425-0062,焼津市中根新田637,054-624-5027,児童厚生施設（放課後児童クラブ）,○,④児童福祉施設,34.83412462,138.2945486,区域外,
178,学童クラブハニー・Ｂｅｅ,家庭支援課,425-0035,焼津市東小川3-13-47,054-631-9832,児童厚生施設（放課後児童クラブ）,○,④児童福祉施設,34.85505886,138.3149436,2,4
177,ゆりかご西クラブ・ゆりかもめA,家庭支援課,425-0085,焼津市塩津133-8,054-629-7609,児童厚生施設（放課後児童クラブ）,○,④児童福祉施設,34.86826904,138.3079829,区域外,
176,ゆりかご西クラブ・かもめ,家庭支援課,425-0085,焼津市塩津117-1,054-629-7708,児童厚生施設（放課後児童クラブ）,○,④児童福祉施設,34.86601535,138.3100692,区域外,
175,大井川南放課後児童クラブ,家庭支援課,421-0212,焼津市利右衛門856-9,054-662-0812,児童厚生施設（放課後児童クラブ）,○,④児童福祉施設,34.78711724,138.2998828,1,
174,大井川西放課後児童クラブ,家庭支援課,421-0217,焼津市上泉1688-1,054-662-1912,児童厚生施設（放課後児童クラブ）,対象外,④児童福祉施設,34.81455675,138.2647588,区域外,
173,大井川東放課後児童クラブ,家庭支援課,421-0205,焼津市宗高428,054-662-0687,児童厚生施設（放課後児童クラブ）,○,④児童福祉施設,34.80765951,138.2931009,区域外,
172,学童保育なかよし東クラブ,家庭支援課,425-0027,焼津市栄町5-14-1,054-628-6363,児童厚生施設（放課後児童クラブ）,○,④児童福祉施設,34.8679503,138.3180819,3,4
171,ゆりかご豊田クラブ・SUN,家庭支援課,425-0077,焼津市五ケ堀之内18-1,054-397-7004,児童厚生施設（放課後児童クラブ）,○,④児童福祉施設,34.85659559,138.2934603,区域外,
170,第二ゆりかご豊田クラブ,家庭支援課,425-0074,焼津市柳新屋906-1,054-620-0469,児童厚生施設（放課後児童クラブ）,○,④児童福祉施設,34.85958849,138.2883548,区域外,
169,第一ゆりかご豊田クラブA・B,家庭支援課,425-0077,焼津市五ケ堀之内40-1,054-620-0468,児童厚生施設（放課後児童クラブ）,○,④児童福祉施設,34.86349826,138.2911027,区域外,
168,南っ子クラブ,家庭支援課,425-0026,焼津市焼津5-5-1,054-629-0242,児童厚生施設（放課後児童クラブ）,○,④児童福祉施設,34.86070936,138.3170888,3,4
167,学童保育なかよし小川クラブ・黒石A・Ｂ,家庭支援課,425-0036,焼津市西小川6-3-6,054-620-2858,児童厚生施設（放課後児童クラブ）,○,④児童福祉施設,34.85476047,138.3039041,区域外,
166,学童保育なかよし小川クラブ・小川,家庭支援課,425-0037,焼津市南小川2丁目3番地の5,054-623-6666,児童厚生施設（放課後児童クラブ）,○,④児童福祉施設,34.84990234,138.3175966,1,3
165,あそび塾・第２あそび塾,家庭支援課,425-0058,焼津市北新田378-1,054-625-1250,児童厚生施設（放課後児童クラブ）,○,④児童福祉施設,34.83354628,138.3222458,区域外,3
164,児童育成たかくさクラブ,家庭支援課,425-0004,焼津市坂本449-1,054-626-7655,児童厚生施設（放課後児童クラブ）,○,④児童福祉施設,34.88946153,138.3120842,区域外,
163,学童保育なかよしクラブ,家庭支援課,425-0068,焼津市中新田1127-1,054-623-2443,児童厚生施設（放課後児童クラブ）,対象外,④児童福祉施設,34.83618245,138.2876912,区域外,
162,医療法人社団正心会（岡本石井病院）,健康づくり課,425-0031,焼津市小川新町5-2-3,054-627-5585,病院,○,③医療関係施設,34.8533827,138.3180697,2,4
161,医療法人社団綾和会（駿河西病院）,健康づくり課,425-0062,焼津市中根新田1315,054-623-5111,病院,対象外,③医療関係施設,34.8290861,138.2869407,区域外,
160,医療法人社団高草会（焼津病院）,健康づくり課,425-0007,焼津市策牛48,054-628-9125,病院,○,③医療関係施設,34.89591064,138.2947135,区域外,
159,医療法人社団駿甲会（甲賀病院）,健康づくり課,425-0088,焼津市大覚寺2-30-1,054-628-5500,病院,○,③医療関係施設,34.87535346,138.299716,区域外,
158,（対象外）医療法人社団峻凌会　やきつべの径診療所,健康づくり課,425-0014,焼津市中里162,054-620-3103,診療所,○,③医療関係施設,34.88757351,138.3152922,区域外,
157,焼津こがわ眼科,健康づくり課,425-0035,焼津市東小川2-15-4,054-626-8860,診療所,○,③医療関係施設,34.85794949,138.3121642,1,3
156,焼津バースクリニック,健康づくり課,425-0076,焼津市小屋敷214-1,054-626-8603,診療所,○,③医療関係施設,34.86136095,138.287924,区域外,
155,志太記念脳神経外科,健康づくり課,425-0073,焼津市小柳津371-1,054-620-3717,診療所,○,③医療関係施設,34.85390788,138.2840221,区域外,
154,天野医院,健康づくり課,425-0041,焼津市石津1-8-1,054-624-6651,診療所,○,③医療関係施設,34.84415392,138.3089643,区域外,
109,ぺちか看護小規模多機能型居宅介護,地域包括ケア推進課,425-0034,焼津市与惣次2-9-5,054-639-6236,看護小規模多機能型居宅介護,○,②老人福祉施設,34.84565186,138.3104376,区域外,
87,デイサービスおはな,地域包括ケア推進課,425-0073,焼津市小柳津213-1,054-397-5042,通所介護,○,?老人福祉施設,34.85386827,138.2832924,区域外,
134,ReHOPE駿河西,地域包括ケア推進課,425-0062,焼津市中根新田1315,054-656-0027,住宅型有料老人ホーム,対象外,?老人福祉施設,34.8290861,138.2869407,区域外,
108,スマイル与惣次、スマイル住まいる与惣次,地域包括ケア推進課,425-0034,焼津市与惣次1-21-8,（小）054-625-7200、（GH）054-625-8525,小規模多機能型居宅介護、認知症対応型共同生活介護,○,?老人福祉施設,34.8458119,138.3078163,区域外,
105,自立支援デイサービスじゅまる,地域包括ケア推進課,425-0036,焼津市西小川7-2-1,054-625-8241,通所型サービスA,○,?老人福祉施設,34.85159776,138.3081907,区域外,
131,おおとみリウマチ整形外科,地域包括ケア推進課,425-0068,焼津市中新田1-1,054-631-9993,通所リハビリテーション,対象外,?老人福祉施設,34.83893989,138.2951609,区域外,
101,スマイル住まいる小川,地域包括ケア推進課,425-0037,焼津市南小川1-10-17,054-625-8290,認知症対応型共同生活介護,○,?老人福祉施設,34.8482732,138.3110567,区域外,
111,たんぽぽコージュ石津新田,地域包括ケア推進課,425-0041,焼津市石津１丁目3-21,054-624-2333,住宅型有料老人ホーム,対象外,?老人福祉施設,34.8433,138.3113,区域外,
113,たんぽぽコージュ八まんさん,地域包括ケア推進課,425-0041,焼津市石津２丁目9-10,054-623-5188,住宅型有料老人ホーム,○,?老人福祉施設,34.8424,138.3163,区域外,2
112,たんぽぽコージュ焼津,地域包括ケア推進課,425-0041,焼津市東祢宜島5-14,054-624-0779,住宅型有料老人ホーム,○,?老人福祉施設,34.8408,138.3047,区域外,
62,ゆうしん中里,地域包括ケア推進課,425-0014,焼津市中里145,054-629-7736,通所介護,○,?老人福祉施設,34.8872,138.3145,区域外,
81,ハートリンク焼津弐番館,地域包括ケア推進課,425-0088,焼津市大覚寺2-8-15,054-620-6080,住宅型有料老人ホーム,○,?老人福祉施設,34.8744,138.2967,区域外,
80,ハートリンク焼津壱番館,地域包括ケア推進課,425-0088,焼津市大覚寺2-8-17,054-620-7520,住宅型有料老人ホーム,○,?老人福祉施設,34.8742,138.2969,区域外,
141,大富陽光園,地域包括ケア推進課,425-0046,焼津市三右衛門新田675-1,054-623-6066,介護老人福祉施設短期入所生活介護通所介護,○,?老人福祉施設,34.8466,138.2928,区域外,
69,アクアホーム焼津大村,地域包括ケア推進課,425-0082,焼津市大村2-17-7,054-631-4666,住宅型有料老人ホーム,○,?老人福祉施設,34.8729,138.3085,区域外,
140,アンジェス西焼津,地域包括ケア推進課,425-0046,焼津市三右衛門新田591-1,054-628-7772,サービス付き高齢者向け住宅,○,?老人福祉施設,34.8494,138.293,区域外,
84,慈恵園,地域包括ケア推進課,425-0088,焼津市大覚寺3-2-3,054-628-4586,養護老人ホーム,○,?老人福祉施設,34.87540771,138.3043905,区域外,
150,複合型サービスごんべえ,地域包括ケア推進課,421-0218,焼津市下江留1398-1,054-664-3100,小規模多機能型居宅介護、住宅型有料老人ホーム,○,?老人福祉施設,34.80859348,138.27699,区域外,
148,コミュニティーケア大井川,地域包括ケア推進課,421-0216,焼津市相川577-1,054-625-8560,"介護老人保健施設
短期入所療養介護
通所リハビリテーション",○,?老人福祉施設,34.8061754,138.2669982,区域外,
147,デイサービスセンターよつ葉のクローバー大井川,地域包括ケア推進課,421-0216,焼津市相川387-4,054-662-0001,通所介護,○,?老人福祉施設,34.80905572,138.260689,区域外,
151,デイサービスセンター陽だまりの樹,地域包括ケア推進課,421-0211,焼津市吉永291-1,054-639-7083,通所介護,○,?老人福祉施設,34.79404215,138.2926129,区域外,
149,グループホーム　シェリー,地域包括ケア推進課,421-0206,焼津市上新田856-1,054-664-0322,認知症対応型共同生活介護,対象外,?老人福祉施設,34.81492106,138.2740291,区域外,
143,デイサービスとまと　宗高,地域包括ケア推進課,421-0205,焼津市宗高848-1М’ｓビル１０１,054-631-5072,通所介護,○,?老人福祉施設,34.80121908,138.288291,区域外,
142,大井川福祉サービスセンター,地域包括ケア推進課,421-0205,焼津市宗高572-1,054-662-0610,通所介護,対象外,?老人福祉施設,34.80329725,138.2905811,区域外,
146,大井川睦園ケアハウス,地域包括ケア推進課,421-0204,焼津市高新田2326-63,054-639-7810,"軽費老人ホーム
特定施設入居者生活介護",対象外,?老人福祉施設,34.80159424,138.3122833,3,
145,大井川睦園,地域包括ケア推進課,421-0204,焼津市高新田2326-58,054-639-7800,"介護老人福祉施設
短期入所生活介護
通所介護",○,?老人福祉施設,34.80212077,138.3127162,3,
144,デイサービスセンターだるま堂,地域包括ケア推進課,421-0203,焼津市藤守2771,054-631-7962,通所介護,対象外,?老人福祉施設,34.80543728,138.2997689,区域外,
139,あおぞらデイサービスセンター焼津,地域包括ケア推進課,425-0072,焼津市大住148-1,054-621-3111,通所介護,○,?老人福祉施設,34.85049669,138.2917741,区域外,
137,福聚荘,地域包括ケア推進課,425-0066,焼津市大島649,054-623-1455,"介護老人福祉施設
短期入所生活介護
介護老人福祉施設入所者生活介護
認知症対応型通所介護",○,?老人福祉施設,34.8215587,138.282254,区域外,
136,デイサービスセンター福聚,地域包括ケア推進課,425-0066,焼津市大島620-1,054-623-1421,通所介護,○,?老人福祉施設,34.82197049,138.282321,区域外,
138,居宅デイサービスこけし,地域包括ケア推進課,425-0066,焼津市大島1530-2,054-623-2882,通所介護,○,?老人福祉施設,34.81885498,138.2994632,区域外,
130,あんしんデイサービス,地域包括ケア推進課,425-0063,焼津市本中根485-1,054-623-2121,通所介護,対象外,?老人福祉施設,34.82848416,138.2948183,区域外,
133,駿河西病院,地域包括ケア推進課,425-0062,焼津市中根新田1315,054-623-5111,"短期入所療養介護
訪問リハビリテーション
介護医療院",対象外,?老人福祉施設,34.8290861,138.2869407,区域外,
135,焼津ケアセンター,地域包括ケア推進課,425-0062,焼津市中根新田1315,054-623-8111,"介護老人保健施設
短期入所療養介護
通所リハビリテーション",対象外,?老人福祉施設,34.8290861,138.2869407,区域外,
132,複合施設　一休,地域包括ケア推進課,425-0062,焼津市中根新田1120-1,054-623-3919,"短期入所生活介護
通所介護",○,?老人福祉施設,34.83083577,138.2922789,区域外,
129,おおとみデイサービス,地域包括ケア推進課,425-0061,焼津市中根431,054-623-5550,通所介護,対象外,?老人福祉施設,34.83805013,138.2963091,区域外,
128,かつを,地域包括ケア推進課,425-0061,焼津市中根181,054-656-4330,"認知症対応型共同生活介護
小規模多機能型居宅介護",○,?老人福祉施設,34.84504937,138.2976866,区域外,
126,たんぽぽ（下小田）,地域包括ケア推進課,425-0059,焼津市下小田上町6-12,054-625-2621,"認知症対応型共同生活介護
通所介護",対象外,?老人福祉施設,34.83866048,138.315389,区域外,
