都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_英語,POIコード,住所,方書,緯度,経度,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,料金（基本）,料金（詳細）,説明,説明_英語,アクセス方法,駐車場情報,バリアフリー情報,連絡先名称,連絡先電話番号,連絡先内線番号,画像,画像_ライセンス,URL,備考,区分1,区分2,休業日,最大収容人数,バリアフリー対応,身障者用駐車場有り,車イスでの入店可能,車イストイレあり,多目的トイレあり,バリアフリーその他,バリアフリー詳細情報_他_備考,HP有無,焼津温泉,宿泊施設_部屋数,宿泊施設_温泉,タグ1,タグ2,タグ3,ふるさと納税
222127,2024000011,静岡県,焼津市,食事処　トミヤ,ショクジドコロトミヤ,,,静岡県焼津市中港2-5-2,,34.871375,138.323641,,,,7:00～14:00/17:00～19:00,,,早朝より営業。刺し身定食・マグロ丼・海鮮丼ほか。時期により、おでんや桜えびの天ぷらも。,,,普4台/大型要相談,,,054-628-4672,,,,http://shizuoka.j47.jp/tomiya/,【掲載先】焼津マップ,お食事,和食,日曜,20人,無,,,,,,※ラストオーダーは特になし,有,,,,,マグロ;桜エビ,,
222127,2024000012,静岡県,焼津市,魚が旨い店　大漁やまちやん,サカナガウマイミセタイリョウヤマチャン,,,静岡県焼津市中港2-7-2,,34.870282,138.323865,,,,11:30～14:00（LO.13:30）/17:00～22:00（LO.21:30）※現在コロナの為21:00に閉店,,,まぐろにこだわり地酒にも合う新鮮な魚料理各種。舟盛り合せ（18種）、たっぷり桜えびのかき揚げなど。,,,普11台,,,054-629-1919,,,,https://www.yaizu.gr.jp/spot/1863,【掲載先】焼津マップ,お食事,和食,月曜(祝日の場合は翌日休),40人,無,,,,,,,無,,,,,マグロ;カツオ;桜エビ;シラス,,
222127,2024000013,静岡県,焼津市,かく万,カクマン,,,静岡県焼津市栄町5-4-7,,34.86692,138.319981,,,,11:00～LO.13:30/17:00～22:00（LO.21:30）,,,"仕出し料理・宴会・法事等を予約にて承ります。
一階ではお食事など予約なしでできます。",,,普10台,,,054-628-4088,,,,https://kakuman.co.jp/,【掲載先】焼津マップ,お食事,和食,水曜・第2火曜,60人,無,,,,,,,有,,,,,マグロ;カツオ;ウナギ;桜エビ,,
222127,2024000014,静岡県,焼津市,赤万・万海亭,アカマンマンカイテイ,,,静岡県焼津市本町2-18-4,,34.866458,138.323408,,,,"11:00～14:00（LO.13:45）/17:30～LO.20:30 (予約のみ・当日14:00迄　)　※ご宴会・ご法事等のご予約は時間外でも承ります
",,,"当店は静岡・焼津・小川魚市場の仲買人の直営店です。自慢は海鮮もの、まぐろをはじめ天然素材にこだわります。
",,,普10台/大型応相談,,,054-629-1211,,,,http://plaza.rakuten.co.jp/mankai/,【掲載先】焼津マップ,お食事,和食,月曜（不定休もあり）,１F24人（いす・テーブル席）/2F60人（たたみ席）,有,,〇,,,,入口にスロープ有り、店内床はフラット。但し、トイレ内に車いすは入れません。,有,,,,,マグロ,,
222127,2024000015,静岡県,焼津市,ふぐ・かに・活魚・カウンター天婦羅　たち吉,フグカニカツギョカウンターテンプラタチキチ,,,静岡県焼津市焼津4-6-21,,34.861906,138.314144,,,,11:30～14:00（LO13:30）/17:00～22:00（LO.21:00）,,,極上南鮪、焼津港の地魚料理・季節コース料理・お座敷カウンター天婦羅・下関直送ふぐ料理など。地酒は磯自慢と初亀をご用意。,,,普20台/大型1台,,,054-627-5771,,,,http://www.yaizu-tachikichi.com/,【掲載先】焼津マップ;【その他連絡先】0120-185-771,お食事,和食,月曜(祝日の場合は翌日休),60人,有,〇,〇,,,,トイレは廊下が狭いので、車イスでは通れない,有,,,,,マグロ;桜エビ,,
222127,2024000016,静岡県,焼津市,焼津ひもの食堂,ヤイヅヒモノショクドウ,,,静岡県焼津市八楠1-3-17,,34.8819532,138.3068591,,,,直売所9:00～14:00　食堂11:00～14:00（LO.13:45）,,,毎朝開いている干したてのひものを炭火焼で提供。「塩糀」に漬けて干す独自の製法で旨みの強いひものに仕上がっています。,,,普8台,,,054-626-8400,,,,https://www.yamakuni.info/,【掲載先】焼津マップ,お食事,和食,水曜,15人,無,,,,,,,有,,,,,,,
222127,2024000018,静岡県,焼津市,小川港（こがわこう）魚河岸食堂,コガワコウウオガシショクドウ,,,静岡県焼津市小川3392-9,,34.851005,138.326075,,,,7:00～14:00(LO.13:45)（土曜は10:00～14:00）※閉店が早まる場合あり,,,地元魚仲買人組合直営店！漁師、さかな屋も集う店。一般の方大歓迎！！豊富なメニューでお待ちしております。,,,普40台,,,054-624-6868,,,,https://www.yaizu-uonaka.or.jp/uogashi/,【掲載先】焼津マップ,お食事,和食,年末年始,100人,有,,〇,〇,〇,,店内はフラットな床、但し、入口に段差有り。,有,,,,,マグロ;カツオ;桜エビ;シラス;サバ,,
222127,2024000019,静岡県,焼津市,魚家　ととや,トトヤ,,,静岡県焼津市道原３,,34.837373,138.308918,,,,11:30～14:00(LO.13:30)/17:30～23:00ころ（LO.22:00ころ）,,,地元、小川港で直接買付けるので地魚しかありません。地魚料理もたくさんご用意しております。是非お楽しみください。,,,普20台/大型２台,,,054-623-7505,,,,http://yaizu-totoya.com/,【掲載先】焼津マップ,お食事,和食,日曜,36人,有,,〇,,,,,有,,,,,マグロ;カツオ,,
222127,2024000020,静岡県,焼津市,日本料理　中重（なかじゅう）,ニホンリョウリナカジュウ,,,静岡県焼津市道原768-4,,34.83613,138.302932,,,,11:00～14:00/17:30～21:30,,,焼津の奥座敷として親しまれるお店。会席料理・ふぐ・すっぽんなど本格的日本料理をご堪能ください。,,,普40台/大型2台,,,054-623-4568,,,,https://nakajyuu.jp/,【掲載先】焼津マップ,お食事,和食,火曜,15人　完全予約制,無,,,,,,,有,,,,,マグロ;ウナギ,,
222127,2024000021,静岡県,焼津市,岩久大富店,イワキュウオオトミテン,,,静岡県焼津市石津253-3,,34.837146,138.311254,,,,11:00～14:30（LO.14:00）,,,毎日食べても飽きないそば。ざる汁、甘汁（温かい汁）とも焼津産の鰹節をたっぷり使用。季節限定品もありお楽しみワクワクです。,,,普13台,,,054-624-7111,,,,https://www.yaizu.gr.jp/spot/2845,【掲載先】焼津マップ,お食事,和食,木曜・日曜・祝日,32人,有,,〇,,,,車いすでカウンターテーブルに座れる。トイレは車いすが入れるスペースがある。,無,,,,,,,
222127,2024000022,静岡県,焼津市,海賊料理　舟小屋,カイセンリョウリフナゴヤ,,,静岡県焼津市田尻北1628-2,,34.836264,138.335031,,,,11:00～15:00（LO.14:30) 　※LO過ぎてもデザートはOK。席はゆっくりしてもらって大丈夫/17:00～22:00（LO21:00）,,,和田浜海岸すぐそば。新鮮地魚。定食・コース・寿司・ふぐ・お子様メニュー・ご結納・宴会・法事も承ります。,,,普40台/大型4台,,,054-624-5483,,,,http://www.funagoya.net/,【掲載先】焼津マップ,お食事,和食,月曜(祝日の場合は翌日休)不定休有,200人(大広間80人）,有,〇,〇,〇,,個室の場合は従業員が車いすを持ち上げてよければ利用できます,段差なく店内に入れる。車いすのまま食事ができる。（個室ではない。７人くらいまで。）男女別の身障者用トイレ有り。,有,,,,,マグロ;カツオ;桜エビ;シラス;ウナギ;サバ,,
222127,2024000023,静岡県,焼津市,まる忠　鰻,マルチュウウナギ,,,静岡県焼津市下江留1450-1,,34.811408,138.274313,,,,11:00～15:00（LO.14:00 ）/17:00～20:00（LO.19:00）,,,良質の鰻と創業以来の「つぎたし　つぎたし」で引き継がれた秘伝のタレ、確かな技術と絶妙な焼き加減。,,,普30台/大型1台　,,,054-622-0407,,,,https://unagi-maruchu.com/,【掲載先】焼津マップ,お食事,和食,月曜(祝日の場合は翌日休),90人,有,,〇,,,,出入口にスロープ、手すり有り。車いすで食事ができる。身障者用トイレ無し。,有,,,,,ウナギ,,
222127,2024000024,静岡県,焼津市,焼津港 丸入商店,ヤイヅコウ　マルイリショウテン,,,静岡県焼津市宗高1474-3,,34.808816,138.2779,,,,お食事処「波なれ」11:00～14:30（LO.14:00）　物販店:11:00～18:00,,,2023年6月オープン！「本当に美味しい魚を食べてもらいたい」をコンセプトに漬け魚、天然まぐろを中心に食堂と物販店を併設。,,,店舗敷地内 普 10台　第2駐車場　普40台　,,,054-631-4031,,,,https://yaizumaruiri.jp/,【掲載先】焼津マップ,お食事,和食,月曜,40人,有,〇,〇,〇,〇,,,有,,,,,マグロ,,
222127,2024000025,静岡県,焼津市,大井川港漁協直営食堂「さくら」,オオイガワコウギョキョウチョクエイショクドウサクラ,,,静岡県焼津市飯淵1960,,34.783553,138.294513,,,,10:30～14:00,,,全国でここ駿河湾でしか水揚げされない桜エビと前浜で水揚げされたしらすを使った新鮮な各種丼ぶり！,,,普50台,,,054-622-0415,,,,http://www.oigawako-gyokyo.com/dining/,【掲載先】焼津マップ,お食事,和食,月曜・火曜・水曜（祝日関係なく）　盆・年末年始,60人,有,,〇,,,,スロープ、手すり有り。,有,,,,,桜エビ;シラス,,
222127,2024000026,静岡県,焼津市,磯料理　みなと家,イソリョウリミナトヤ,,,静岡県焼津市飯淵2153,,34.779478,138.296555,,,,11 :00～14:00（LO.13:50）/17:00～21:00（LO.20:30）,,,大井川港ならではの四季折々の新鮮多彩な旬の幸をお楽しみください。,,,普20台/大型1台,,,054-622-0362,,,,https://www.minatoya-ryouri.com/,【掲載先】焼津マップ,お食事,和食,水曜・年末年始・臨時休業有り,100人,有,〇,〇,,,,車いすにて入店可能席有り。段差無し。トイレ無し。,有,,,,,マグロ;桜エビ;シラス;ウナギ,,
222127,2024000027,静岡県,焼津市,mucho Mexican Dining,ムーチョメキシカンダイニング,,,静岡県焼津市栄町1-8-14　デイジービル２Ｆ,,34.8711937,138.3167112,,,,17:00～24:00（LO.23:00 ）,,,焼津発！本格メキシカンダイナー。駅近徒歩2分。お気軽にお立ち寄りください。,,,なし,,,054-269-4134,,,,https://www.instagram.com/yaizu.mucho/,【掲載先】焼津マップ,お食事,洋食,日曜(月曜が祝日の場合は日曜営業し月曜休み),40人,無,,,,,,,有,,,,,,,
222127,2024000028,静岡県,焼津市,Piatto Alla Carta Senta!（ピアット　アッラ　カルタ　センタ！）,ピアットアッラカルタセンタ,,,静岡県焼津市栄町1-8-13丸合第二ビル１階右,,34.871106,138.316886,,,,17:00～24:00(LO.23:00),,,"焼津駅近くのイタリア料理店です。
イタリア各州のワインを取り揃えてお待ちしております。
",,,普2台,,,054-620-9911,,,,http://www.ceres.dti.ne.jp/mon/,【掲載先】焼津マップ,お食事,洋食,日曜,35人,無,,,,,,,有,,,,,,,
222127,2024000029,静岡県,焼津市,カフェレストラン　山正亭,カフェレストランヤマショウテイ,,,静岡県焼津市栄町4-2-2,,34.869995,138.319785,,,,"ランチ 11:30～14:30（LO.14:00）
ディナー 17:30～22:00 （LO.21:00）",,,駅前通り商店街の中にある洋食店です。コーヒーからオムライス、ステーキまで、お気軽にお立ち寄りください。,,,普1台,,,054-629-0730,,,,,【掲載先】焼津マップ,お食事,洋食,月曜・火曜,18人,無,,,,,,,無,,,,,,,
222127,2024000030,静岡県,焼津市,グリルSASAYA,グリルササヤ,,,静岡県焼津市焼津4-9-19,,34.862991,138.313688,,,,11:00～LO.14:00/17:00～LO.21:00,,,"全国的にもめずらしい「梅かつおオムライス」や「深海ザメ料理」がオススメ！
",,,普10台,,,054-627-0234,,,,https://sasayaomuraisu.amebaownd.com/,【掲載先】焼津マップ,お食事,洋食,水曜,40人,無,,,,,,,有,,,,,カツオ;サバ,,
222127,2024000031,静岡県,焼津市,Portugal cafe 南蛮亭,ポルトガルカフェナンバンテイ,,,静岡県焼津市浜当目3‐15-33,,34.87928,138.335027,,,,"モーニング9:00～11:00/ランチ　11:00～14:00
/ティータイム14:00～17:00/ディナー17:30～20:00（ディナーは要予約） ",,,"眼の前に広がる焼津の海を眺めながら、ゆったりとお食事、大切な人との時間をお楽しみください。
",,,普通4台,,,054-620-5199,,,,https://peraichi.com/landing_pages/view/nanbantei/,【掲載先】焼津マップ,お食事,洋食,月曜・火曜・荒天時,店内20人・テラス席8人・ガーデン20人,無,,,,,,,有,,,,,,,
222127,2024000032,静岡県,焼津市,四代目　肉の良知,ヨンダイメニクノラチ,,,静岡県焼津市焼津4-3-7,,34.862037,138.315178,,,,ランチ 11:30～14:00（LO.13:30）/ディナー　平日18:00～21:00（LO.20:30）土日祝17:30～21:00（LO.20:30）,,,"ランチ限定の1日5食のローストビーフ重（1,210円）。低温調理で仕上げたローストビーフは絶品です！！",,,普10台,,,050-1195-0242,,,,https://niku-kanemaru.com/71793/%E5%9B%9B%E4%BB%A3%E7%9B%AE%E8%82%89%E3%81%AE%E8%89%AF%E7%9F%A5/,【掲載先】焼津マップ,お食事,洋食,水曜,60人,無,,,,,,,有,,,,,,,
222127,2024000033,静岡県,焼津市,焼津四川飯店＆ガーデンズ,ヤイヅシセンハンテンアンドガーデンズ,,,静岡県焼津市西小川3-6-1,,34.856985,138.309737,,,,11:30～14:30(L.O.14:00) 17:00～20:30（L.O.20:00） ※土日祝日17:30～21:00（L.O.20:00）,,,"陳建一氏から受け継ぐ伝統的な本格四川料理の店。緑あふれるガーデンレストランです。
緑あふれるガーデンレストランです。",,,普60台,,,054-253-1151,,,,https://www.sn-hotels.com/nag/,【掲載先】焼津マップ,お食事,その他料理,水曜（祝日の場合は営業）,120人,有,〇,〇,〇,〇,,,有,,,,,,,
222127,2024000034,静岡県,焼津市,韓の食卓　イェッコル,カンノショクタクイェッコル,,,静岡県焼津市西小川2-1-6,,34.859123,138.311635,,,,水曜～日曜 ランチ11:00～14:00/ ディナー17:00～20:30 ※14:00～17:00は休憩　,,,本格的な韓国家庭料理をお気軽に楽しめます。お総菜コーナーでは自家製キムチやキンパ（韓流海苔巻）などをテイクアウト可能です。,,,普3台,,,054-637-9199,,,,https://www.instagram.com/yetgol.yaizu/,【掲載先】焼津マップ,お食事,その他料理,月曜・火曜,15人,無,,,,,,,無,,,,,,,
222127,2024000035,静岡県,焼津市,Soupmen,スープメン,,,静岡県焼津市栄町1-5-14,,34.871275,138.318143,,,,11:00～14:00（LO.13:50）/18:00～26:00（LO.25:30）,,,某グルメサイト2020、21と2年連続百銘店入りした名店が焼津に移転しました。一番人気は牡蠣塩ラーメン。,,,なし,,,054-639-5990,,,,https://twitter.com/Soupmen2,【掲載先】焼津マップ,お食事,その他料理,なし,33人,無,,,,,,,無,,,,,,,
222127,2024000036,静岡県,焼津市,らーめん岡田,ラーメンオカダ,,,静岡県焼津市小川3570-7,,34.851165,138.324404,,,,7:00～14:00 （LO.14:00）/17:00～20:00（LO19:45）,,,アットホームなお店。女性客1人でも来やすいお店。,,,お問い合わせください,,,080-9495-5385,,,,https://www.yaizu.gr.jp/spot/2864,【掲載先】焼津マップ,お食事,その他料理,水曜,23人,無,,,,,,,無,,,,,,,
222127,2024000037,静岡県,焼津市,EIGHT　COFFEE　（エイトコーヒー）,エイトコーヒー,,,静岡県焼津市栄町1-2-10,,34.871325,138.318736,,,,,,,駅より徒歩１分、朝はモーニング、昼はランチと純喫茶メニューが色々あります。ドリンクのテイクアウトもできます。,,,＊パーキングチケットあります。,,,054-620-8668,,,,https://8coffee-yaizu.com/,【掲載先】焼津マップ,お食事,喫茶店・カフェ,水曜,30人,有,,〇,,,,ベビーカーと車イスが乗り越えられる段差と幅にしてあります,有,,,,,,,
222127,2024000038,静岡県,焼津市,PIGE CAFE ＆ CookiePige焼津駅前店,ピゲカフェアンドクッキーピゲヤイヅエキマエテン,,,静岡県焼津市栄町4-1-6,,34.8702324,138.3196831,,,,10:00～18:00（ランチタイム11:00～14:00）,,,チーズピゲプロデュースのカフェ。チーズフードやスイーツ、クッキー専門店のクッキーも。,,,＊小石川パーキングをご利用の方にサービス券お渡ししています。,,,054-625-9931,,,,https://cheesepige.jp/,【掲載先】焼津マップ,お食事,喫茶店・カフェ,月曜,19人,無,,,,,,,有,,,,,,,
222127,2024000039,静岡県,焼津市,蔵真Yaizu,クラマヤイヅ,,,静岡県焼津市栄町3-3-13,,34.8700047,138.3205946,,,,11:00～14:00/16:00～19:00,,,焼津駅より徒歩5分。まるで隠れ家のような古民家です。お客さまがリラックスできる時間を大切にしています。,,,なし,,,054-668-9093,,,,https://kurama-yaizu.jimdosite.com/,【掲載先】焼津マップ,お食事,喫茶店・カフェ,木曜,17人,無,,,,,,,有,,,,,,,
222127,2024000040,静岡県,焼津市,Zentra Yoga Studio＆Karma Cafe （カルマカフェ）,ゼントラヨガスタジオアンドカルマカフェ,,,静岡県焼津市本町2-16-45,,34.86759,138.322771,,,,10:00～17:00,,,ベジタリアンのランチメニュー（焼き野菜カレー、ベジ麻婆豆腐、キッシュ）やスイーツ、自家焙煎珈琲とインド・タイの雑貨など。,,,普9台,,,054-631-5103,,,,https://www.zentrayoga.com/karma-cafe,【掲載先】焼津マップ,お食事,喫茶店・カフェ,火曜,16人,有,,〇,,,,,有,,,,,,,
222127,2024000041,静岡県,焼津市,喫茶アルハ,キッサアルハ,,,静岡県焼津市本町3-9-26,,34.86565794,138.3223648,,,,10:00～LO.16:30,,,庭の見える店内でコーヒー、手作りケーキが味わえます。無添加手作りジャム（約20種）、国産はちみつを販売しております。,,,普6台,,,054-628-5545,,,,https://www.yaizu.gr.jp/spot/2860,【掲載先】焼津マップ,お食事,喫茶店・カフェ,水曜・木曜,15人,無,,,,,,,無,,,,,,,
222127,2024000042,静岡県,焼津市,花沢の里 カントリーオーブン（蔵＆庭カフェ）,ハナザワノサトカントリーオーブン,,,静岡県焼津市花沢18,,34.907161,138.330533,,,,10:00～16:00（LO.15:30）,,,大自然と古い家並みを散策しながら、花沢の里に遊びに来て下さい。（焼菓子の販売あり）,,,"無し
花沢の里駐車場をご利用下さい。",,,080-5139-3670,,,,https://www.instagram.com/countryoven_niwacafe/,【掲載先】焼津マップ,お食事,喫茶店・カフェ,不定休あり,20人,無,,,,,,,有,,,,,,,
222127,2024000043,静岡県,焼津市,toiro cafe（国登録有形文化財「原田家住宅」）,トイロカフェ,,,静岡県焼津市浜当目1-14-14（浜当目1丁目492）,,34.880452,138.329912,,,,11:00～14:30（LO.14:00）,,,"店頭に立つのは十人十色の個性豊かなスタッフ♪
ほんの少し優しい気持ちになれるかもしれないカフェです。",,,普15台,,,054-639-5300 ,,,,https://r.goope.jp/toirocafe,【掲載先】焼津マップ,お食事,喫茶店・カフェ,日曜・祝日・年末年始,24人,有,,〇,〇,〇,,,有,,,,,,,
222127,2024000044,静岡県,焼津市,あたびーcafe,アタビーカフェ,,,静岡県焼津市浜当目4-13-18,,34.880687,138.334368,,,,11:00～17:00,,,潮風香る沖縄の雰囲気と食事、喫茶が出来る古民家cafe。,,,普20台,,,054-639-6768,,,,https://www.instagram.com/atabee0409,【掲載先】焼津マップ,お食事,喫茶店・カフェ,木曜・不定休あり,18人,無,,,,,,,無,,,,,,,
222127,2024000045,静岡県,焼津市,やなぎやカフェ,ヤナギヤカフェ,,,静岡県焼津市東小川2-1-10,,34.85798425,138.3178055,,,,11:00～16:00（ランチタイムは14:00まで）,,,老舗かつお節屋が営む、削りたて鰹節の卵かけご飯セットや鰹のだし茶漬けが人気のカフェ。横には直売店も♪,,,普15台,,,054-629-3244,,,,https://yanagiyacafe.com/,【掲載先】焼津マップ,お食事,喫茶店・カフェ,日曜・月曜・年始,16人,有,〇,〇,,,,,有,,,,,,,
222127,2024000046,静岡県,焼津市,ペンギン村,ペンギンムラ,,,静岡県焼津市田尻1366,,34.831962,138.334996,,,,10:00～21:00　金曜・土曜・日曜10:00～23:00,,,昔ながらの喫茶店！自家焙煎珈琲！日替りランチ、手作り軽食、ケーキセット、パフェ、テイクアウトも出来ます！,,,普12台,,,054-624-3799,,,,https://coffee-penginmura.com,【掲載先】焼津マップ,お食事,喫茶店・カフェ,水曜・第3火曜,25人,無,,,,,,,有,,,,,,,
222127,2024000047,静岡県,焼津市,Caffe maar,カフェマール,,,静岡県焼津市一色115,,34.821976,138.311,,,,11:00～18:00(LO.17:30),,,自家焙煎珈琲をお庭を眺めながらのんびりお楽しみください！軽食有り,,,普９台,,,,,,,https://www.instagram.com/caffe.maar/,【掲載先】焼津マップ;【mail】caffemaar0@gmail.com,お食事,喫茶店・カフェ,月曜・第3火曜,12人,無,,,,,,,有,,,,,,,
222127,2024000048,静岡県,焼津市,たこ焼き＆スマイル,タコヤキアンドスマイル,,,静岡県焼津市栄町1-5-17きめたビル１F,,34.871397,138.318444,,,,火曜～土曜10:00～24:00　日曜・祝日10:00～19:00,,,大阪の食材と焼津の食材をタイアップ。本場大阪のたこ焼きを召しあがって下さい。,,,なし,,,080-9472-6286,,,,https://www.instagram.com/tako__suma/,【掲載先】焼津マップ,お食事,その他料理,月曜,6人,無,,,,,,,無,,,,,,,
222127,2024000049,静岡県,焼津市,炭火居酒屋　わが家,スミビイザカヤワガヤ,,,静岡県焼津市栄町1-8-20,,34.871337,138.316711,,,,17:00～26:00頃（LO.24:45）,,,アットホームな雰囲気。炭火焼きを中心とした料理が売りです。一人でも楽しく飲めます。,,,なし,,,054-628-8116,,,,https://yaizuwagaya.jimdofree.com/,【掲載先】焼津マップ,お食事,居酒屋,日曜・月曜,10人,無,,,,,,,有,,,,,,,
