ソート番号,クーポン名,クーポン名カナ,業種,クーポンの割引金額,クーポン名表示用,ブロックNO,郵便番号,店舗住所,電話番号,店舗説明,店舗URL,インスタグラムのアカウント,店舗画像,経度,緯度
71,ヤキレイ直売所,ヤキレイチョクバイショ,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0031,静岡県焼津市小川新町5丁目8番2号,054-627-0181,,http://www.yakirei.co.jp/sp/,https://www.instagram.com/yakirei.38/,,138.320556,34.8523965
72,カフェセレサ,カフェセレサ,飲食業,1000,"2,000円以上会計で1,000円引き",1,425-0071,静岡県焼津市三ｹ名1194-4,054-626-4098,,,https://www.instagram.com/cafecereza_yaizu/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/72.jpg,138.305122,34.863427
73,株式会社　油屋呉服店,アブラヤゴフクテン,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0027,静岡県焼津市栄町3-1-16,054-629-5533,月曜〜日曜　9:00〜16:00  定休日：不定休,,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/73.jpg,138.319801,34.870673
74,手毬,テマリ,飲食業,1000,"2,000円以上会計で1,000円引き",1,425-0072,静岡県焼津市大住1085-1,054-623-5296,,https://temari19901212.owst.jp,https://www.instagram.com/temari_kamameshi2020/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/74.jpg,138.2903547,34.846396
75,株式会社三幸　さんこう西小川店,サンコウニシコガワテン,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0036,静岡県焼津市西小川4-1-1,054-620-3077,,https://sankoukids.official.ec/,https://www.instagram.com/sankou_kids_style/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/75.jpg,138.309132,34.8548629
76,元湯なかむら館,モトユナカムラカン,飲食業,500,"1,000円以上会計で500円引き",1,425-0028,静岡県焼津市駅北1-14-7,054-628-4397,,https://nakamurakan.co.jp/,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/76.jpg,138.321692,34.87455
77,居酒屋ゆず,イザカヤユズ,飲食業,1000,"2,000円以上会計で1,000円引き",1,425-0076,静岡県焼津市小屋敷244-2,090-8327-2326,,,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/77.jpg,138.2894277,34.8621487
79,やきつ家,ヤキツヤ,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0027,静岡県焼津市栄町3丁目1番13号,054-627-6415,,,https://www.instagram.com/yakitsuya/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/79.jpg,138.3199133,34.8704519
80,まんさいかん焼津,マンサイカンヤイヅ,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0026,静岡県焼津市焼津4丁目8-5,054-626-8822,月〜日　9：00〜17：00 定休日　第2火曜日,https://life.ja-group.jp/farm/market/detail?id=1137,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/80.jpg,138.314747,34.8632809
81,大井川農業協同組合　まんさいかん静浜,オオイガワノウギョウキョウドウクミアイ　マンサイカンシズハマ,小売業,1000,"2,000円以上会計で1,000円引き",1,421-0205,静岡県焼津市宗高1-2,054-664-0831,月〜日　9:00〜17:00  定休日:第二火曜日 　他1/1〜1/4 休み,https://life.ja-group.jp/farm/market/detail?id=1139,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/81.jpg,138.28144,34.814108
82,坂本接骨院・鍼灸院,サカモトセッコツインシンキュウイン,その他,1000,"2,000円以上会計で1,000円引き",1,425-0027,静岡県焼津市栄町3丁目5番30号,054-620-5000,クーポンは自費施術のみ利用可,https://sakamoto-sekkotsu5000.com/,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/82.jpg,138.320838,34.8691336
83,ふわふわっふる　西小川店,フワフワッフル　ニシコガワテン,小売業,500,"1,000円以上会計で500円引き",1,425-0036,静岡県焼津市西小川2-1-3-102,090-5113-2828,,http://fuwafuwaffle.blogspot.com,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/83.jpg,138.3081987,34.8520494
84,ふわふわっふる　焼津駅前通り店,フワフワッフル　ヤイヅエキマエドオリテン,小売業,500,"1,000円以上会計で500円引き",1,425-0027,静岡県焼津市栄町2-3-15,080-2162-1084,,http://fuwafuwaffle.blogspot.com,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/84.jpg,138.319554,34.870954
85,有限会社葵サンプル,アオイサンプル,その他,1000,"2,000円以上会計で1,000円引き",1,425-0045,静岡県焼津市祢宜島362番地の3,054-624-8645,,http://www.aoisample.com/,https://www.instagram.com/aoisample/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/85.jpg,138.3053714,34.8393799
86,有限会社　丸玉園,マルタマエン,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0035,静岡県焼津市東小川5-9-17,054-621-5501,,https://sanowa-tea.jp,https://www.instagram.com/sanowa_tea/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/86.jpg,138.3107162,34.8570529
87,HOTEL nanvan焼津,ホテルナンバンヤイヅ,宿泊業,1000,"2,000円以上会計で1,000円引き",1,425-0092,静岡県焼津市越後島360番地の3,054-628-8835,,https://www.nanvan.jp/,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/87.jpg,138.2966571,34.8852516
88,よし寿司,ヨシズシ,飲食業,1000,"2,000円以上会計で1,000円引き",1,425-0026,静岡県焼津市焼津1丁目5の31,054-629-5600,昼　平日：11:30〜13:30 日曜・祝日：11:30〜13:30 夜　平日：17:00〜21:00 日曜・祝日：17:00〜20:00 定休日：水曜日　不定休あり,,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/88.jpg,138.315832,34.867806
89,株式会社ヤイヅツナコープ,カブシキガイシャヤイヅツナコープ,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0032,静岡県焼津市鰯ｹ島136-26うみえ~る焼津1階,054-629-7393,,http://www.yaizu-gyokyo.or.jp,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/89.jpg,138.3266667,34.8566667
92,和菓子工房吉野,ワガシコウボウヨシノ,小売業,500,"1,000円以上会計で500円引き",1,425-0027,静岡県焼津市栄町4-1-3,054-628-3926,,https://yamakawahitoshi.wordpress.com,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/92.jpg,138.3195484,34.8705229
93,磯料理みなと家,イソリョウリミナトヤ,飲食業,1000,"2,000円以上会計で1,000円引き",1,421-0213,静岡県焼津市飯淵2153,054-622-0362,営業開始時間：昼11:30～　夜17：30～,https://www.minatoya-ryouri.com/,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/93.jpg,138.2964833,34.7794389
94,株式会社マルワ商店,マルワショウテン,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0091,静岡県焼津市八楠4-13-7焼津さかなセンター内,054-628-5555,,https://maruwa-shouten.shop-pro.jp/,https://www.instagram.com/maruwa333/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/94.jpg,138.303534,34.88024
95,ミハラ水産株式会社,ミハラスイサン,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0091,静岡県焼津市八楠4-13-7,054-629-1171,,https://misuisan.co.jp/74939/,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/95.jpg,138.3035733,34.8800403
96,回転寿司のぶちゃん,カイテンズシノブチャン,飲食業,1000,"2,000円以上会計で1,000円引き",1,425-0091,静岡県焼津市八楠4丁目13-7焼津さかなセンター内,054-628-2100,,https://www.sakana-center.com/shop/2522/,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/96.jpg,138.303567,34.880302
97,つくだ煮みさき,ツクダニミサキ,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0035,静岡県焼津市東小川1-3-19,054-628-2403,,https://tukudanimisaki.amebaownd.com,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/97.jpg,138.3153403,34.8590051
98,丸忠有限会社,マルチュウユウゲンガイシャ,飲食業,1000,"2,000円以上会計で1,000円引き",1,421-0218,静岡県焼津市下江留1450-1,054-622-0407,営業時間 : 11時〜14時 / 17時〜19時 定休日 : 月曜日（月曜祝日の場合、翌火曜日）,https://unagi-maruchu.com/,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/98.jpg,138.2742483,34.8113819
99,飲処.肴処　膳,ノミドコロ.サカナドコロ　ゼン,飲食業,1000,"2,000円以上会計で1,000円引き",1,425-0026,静岡県焼津市焼津4-9-15,054-628-5799,,,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/99.jpg,138.3138791,34.8629878
100,EBOSHI,エボシ,飲食業,1000,"2,000円以上会計で1,000円引き",1,425-0027,静岡県焼津市栄町1-7-2,054-621-6052,,https://www.eboshi-yaizu.com/,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/100.jpg,138.3175706,34.8716114
101,HINATA,ヒナタ,飲食業,1000,"2,000円以上会計で1,000円引き",1,425-0027,静岡県焼津市栄町1-5-2,054-628-2316,,https://hinata-yaizu.com/,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/101.jpg,138.3185511,34.8713614
102,エイトコーヒー,エイトコーヒー,飲食業,1000,"2,000円以上会計で1,000円引き",1,425-0027,静岡県焼津市栄町1-2-10,054-620-8668,,,https://www.instagram.com/eightcoffee_e/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/102.jpg,138.3186764,34.8712827
103,下村こうじ屋,シモムラコウジヤ,小売業,500,"1,000円以上会計で500円引き",1,425-0022,静岡県焼津市本町2-15-6,054-628-5310,,https://www.shimomura-koujiya.com/,https://www.instagram.com/shimomura.koujiya/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/103.jpg,138.322848,34.866526
104,大富水産株式会社,ダイトミスイサン,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0091,静岡県焼津市八楠4-13-7焼津さかなセンター内,054-621-0002,AM9：00〜PM17：00,https://daitomisuisan.shop-pro.jp/,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/104.jpg,138.303567,34.880302
