都道府県コ―ド又は市区町村コ―ド,NO,都道府県名,市区町村名,名称,名称_カナ,種別,住所,方書,緯度,経度,アクセス方法,駐車場情報,電話番号,内線番号,FAX番号,法人番号,団体名,認可等年月日,収容定員,受入年齢,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,一時預かりの有無,URL,備考
222127,0013010020,静岡県,焼津市,焼津市立小川保育園,ヤイヅシリツコガワホイクエン,認可公立保育所,静岡県焼津市東小川4-21-11,,34.85283,138.313597,,,(054)628-4349,,(054)628-4349,,,,120,0歳から,月火水木金土,08:30,16:30,平日延長保育：平日午前7時30分から8時30分まで、午後4時30分から7時まで;土曜保育：午前8時30分から午後4時30分まで ;土曜延長保育：午前7時30分から8時30分まで、午後4時30分から7時まで,有,,
222127,0013010021,静岡県,焼津市,焼津市立石津保育園,ヤイヅシリツイシヅホイクエン,認可公立保育所,静岡県焼津市石津中町16-7,,34.841538,138.324693,,,(054)624-5839,,(054)624-5839,,,,90,0歳から,月火水木金土,08:30,16:30,平日延長保育：平日午前7時30分から8時30分まで、午後4時30分から7時まで;土曜保育：午前8時30分から午後4時30分まで ;土曜延長保育：午前7時30分から8時30分まで、午後4時30分から7時まで,有,,
222127,0013010022,静岡県,焼津市,焼津市立大井川保育園,ヤイヅシリツオオイガワホイクエン,認可公立保育所,静岡県焼津市下江留41  ,,34.801827,138.284195,,,(054)622-7420 ,,(054)622-7422,,,,300,0歳から,月火水木金土,08:30,16:30,平日延長保育：平日午前7時30分から8時30分まで、午後4時30分から7時まで;土曜保育：午前8時30分から午後4時30分まで ;土曜延長保育：午前7時30分から8時30分まで、午後4時30分から7時まで,有,,病後児保育
222127,0013010023,静岡県,焼津市,焼津南保育園,ヤイヅミナミホイクエン,認可私立保育所,静岡県焼津市焼津5-13-14 ,,34.861987,138.316419,,,(054)629-0240,,(054)629-2600,,,,120,0歳から,月火水木金土,08:30,16:30,平日延長保育：平日午前7時から8時30分まで、午後4時30分から7時まで;土曜保育：午前8時から午後5時まで,有,,病後児保育;子育て支援センター;放課後児童クラブ
222127,0013010024,静岡県,焼津市,さくら保育園,サクラホイクエン,認可私立保育所,静岡県焼津市北新田378-1 ,,34.833577,138.322259,,,(054)624-3073,,(054)656-0676 ,,,,120,0歳から,月火水木金土,08:30,16:30,平日延長保育：平日午前7時から8時30分まで、午後4時30分から7時まで;土曜保育：午前7時から午後5時30分まで,有,,子育て支援センター;放課後児童クラブ
222127,0013010025,静岡県,焼津市,なかよし保育園,ナカヨシホイクエン,認可私立保育所,静岡県焼津市西小川6-15-6 ,,34.855368,138.302795,,,(054)629-2525,,(054)629-2685,,,,100,0歳から,月火水木金土,08:30,16:30,平日延長保育：平日午前7時から8時30分まで、午後4時30分から7時まで;土曜保育：午前7時から午後4時30分まで,無,,子育て支援センター;放課後児童クラブ
222127,0013010026,静岡県,焼津市,たかくさ保育園,タカクサホイクエン,認可私立保育所,静岡県焼津市坂本449-2 ,,34.889718,138.312059,,,(054)629-5430,,(054)629-5575 ,,,,90,0歳から,月火水木金土,08:30,16:30,平日延長保育：平日午前7時から8時30分まで、午後4時30分から7時まで;土曜保育：午前7時から午後6時まで,有,,子育て支援センター;放課後児童クラブ
222127,0013010027,静岡県,焼津市,ふたば保育園,フタバホイクエン,認可私立保育所,静岡県焼津市小土79-1,,34.866625,138.28561,,,(054)628-5720,,(054)626-4191 ,,,,120,0歳から,月火水木金土,08:30,16:30,平日延長保育：平日午前7時から8時30分まで、午後4時30分から7時まで;土曜保育：午前8時から午後5時まで,有,,
222127,0013010028,静岡県,焼津市,ゆりかご保育所,ユリカゴホイクショ,認可私立保育所,静岡県焼津市五ケ堀之内759-1,,34.860783,138.298945,,,(054)629-3637,,(054)629-3834,,,,170,0歳から,月火水木金土,08:30,16:30,平日延長保育：平日午前7時から8時30分まで、午後4時30分から7時まで;土曜保育：午前7時30分から午後6時まで,有,,放課後児童クラブ
222127,0013010029,静岡県,焼津市,第三ゆりかご保育所,ダイサンユリカゴホイクショ,認可私立保育所,静岡県焼津市一色722 ,,34.830882,138.311072,,,(054)623-1551,,(054)623-3553 ,,,,90,0歳から,月火水木金土,08:30,16:30,平日延長保育：平日午前7時から8時30分まで、午後4時30分から7時まで;土曜保育：午前7時30分から午後6時まで,有,,病後児保育;子育て支援センター
222127,0013010030,静岡県,焼津市,明星保育園,ミョウジョウホイクエン,認可私立保育所,静岡県焼津市一色448 ,,34.823803,138.316809,,,(054)623-2727,,(054)623-8077,,,,80,0歳から,月火水木金土,08:00,16:00,平日延長保育：平日午前7時から8時まで、午後4時から7時まで;土曜保育：午前7時30分から午後5時30分まで,無,,
222127,0013010031,静岡県,焼津市,なかよし大富保育園,ナカヨシオオトミホイクエン,認可私立保育所,静岡県焼津市中新田1148-1,,34.83587,138.287229,,,(054)623-2225,,(054)656-0300 ,,,,90,0歳から,月火水木金土,08:30,16:30,平日延長保育：平日午前7時から8時30分まで、午後4時30分から7時まで;土曜保育：午前7時から午後4時30分まで,無,,放課後児童クラブ
222127,0013010032,静岡県,焼津市,保育所きぼう東こがわ園,ホイクショキボウヒガシコガワエン,認可私立保育所,静岡県焼津市東小川6-8-13 ,,34.853265,138.30951,,,(054)626-8008 ,,(054)626-8009,,,,18,0歳から,月火水木金土,08:30,16:30,平日延長保育：平日午前7時30分から8時30分まで、午後4時30分から6時30分まで;土曜保育：午前8時30分から午後4時30分まで ;土曜延長保育：午前7時30分から8時30分まで、午後4時30分から6時30分まで,無,,小規模保育事業
222127,0013010033,静岡県,焼津市,常緑保育園,トキワホイクエン,認可私立保育所,静岡県焼津市三ケ名1175 ,,34.862489,138.305721,,,(054)629-4753 ,,(054)629-4753,,,,19,0歳から,月火水木金土,08:30,16:30,平日延長保育：平日午前7時30分から8時30分まで、午後4時30分から6時30分まで;土曜保育：午前8時30分から午後4時30分まで ;土曜延長保育：午前7時30分から8時30分まで、午後4時30分から6時30分まで,無,,小規模保育事業
222127,0013010034,静岡県,焼津市,焼津のんのん保育園,ヤイヅノンノンホイクエン,認可私立保育所,静岡県焼津市柳新屋768-1 ,,34.857524,138.289395,,,(054)625-7978 ,,(054)625-7978,,,,18,0歳から,月火水木金土,08:30,16:30,平日延長保育：平日午前7時30分から8時30分まで、午後4時30分から6時30分まで;土曜保育：午前8時30分から午後4時30分まで ;土曜延長保育：午前7時30分から8時30分まで、午後4時30分から6時30分まで,無,,小規模保育事業
222127,0013010035,静岡県,焼津市,HeartLink焼津保育園,ハ―トリンクヤイヅホイクエン,認可私立保育所,静岡県焼津市焼津4-11-7 ,,34.861621,138.313363,,,(054)625-8989,,(054)625-8989,,,,19,0歳から,月火水木金土,09:00,17:00,平日延長保育：平日午前7時30分から9時まで、午後5時から6時30分まで;土曜保育：午前9時から午後5時まで ;土曜延長保育：午前7時30分から9時まで、午後5時から6時30分まで,無,,小規模保育事業
222127,0013010036,静岡県,焼津市,保育所グロ―アップ石津園,ホイクショグロ―アップイシヅエン,認可私立保育所,静岡県焼津市石津558-2,,34.843241,138.313259,,,(054)639-5821 ,,(054)639-5822,,,,19,0歳から,月火水木金土,08:30,16:30,平日延長保育：平日午前7時30分から8時30分まで、午後4時30分から6時30分まで;土曜保育：午前8時30分から午後4時30分まで ;土曜延長保育：午前7時30分から8時30分まで、午後4時30分から6時30分まで,無,,小規模保育事業
222127,0013010037,静岡県,焼津市,あいキッズランドしおつ園,アイキッズランドシオツエン,認可私立保育所,静岡県焼津市塩津260-1,,34.868512,138.311576,,,(054)625-8395 ,,(054)625-8395,,,,18,0歳から,月火水木金土,08:30,16:30,平日延長保育：平日午前7時30分から8時30分まで、午後4時30分から6時30分まで;土曜保育：午前8時30分から午後4時30分まで ;土曜延長保育：午前7時30分から8時30分まで、午後4時30分から6時30分まで,無,,小規模保育事業
222127,0013010038,静岡県,焼津市,保育所きぼう焼津こがわ園,ホイクショキボウヤイヅコガワエン,認可私立保育所,静岡県焼津市西小川2-7-9,高橋プラザ1階,34.860059,138.308449,,,(054)626-8819,,(054)626-8819,,,,18,0歳から,月火水木金土,08:30,16:30,平日延長保育：平日午前7時30分から8時30分まで、午後4時30分から6時30分まで;土曜保育：午前8時30分から午後4時30分まで ;土曜延長保育：午前7時30分から8時30分まで、午後4時30分から6時30分まで,無,,小規模保育事業
222127,0013010039,静岡県,焼津市,小土のんのん保育園,コヒジノンノンホイクエン,認可私立保育所,静岡県焼津市小土300-5,,34.867509,138.292346,,,(054)631-6889,,(054)631-6889,,,,18,0歳から,月火水木金土,08:30,16:30,平日延長保育：平日午前7時30分から8時30分まで、午後4時30分から6時30分まで;土曜保育：午前8時30分から午後4時30分まで ;土曜延長保育：午前7時30分から8時30分まで、午後4時30分から6時30分まで,無,,小規模保育事業
222127,0013010040,静岡県,焼津市,HeartLink西小川保育園,ハ―トリンクニシコガワホイクエン,認可私立保育所,静岡県焼津市西小川5-2-1,,34.859194,138.308081,,,(054)639-9211,,(054)639-9212,,,,19,0歳から,月火水木金土,09:00,17:00,平日延長保育：平日午前7時30分から9時まで、午後5時から6時30分まで;土曜保育：午前9時から午後5時まで ;土曜延長保育：午前7時30分から9時まで、午後5時から6時30分まで,無,,小規模保育事業
222127,0013010041,静岡県,焼津市,保育所ぷちはうす,ホイクショプチハウス,認可私立保育所,静岡県焼津市西焼津14-14,,34.860144,138.284747,,,(054)620-2345,,(054)626-2311,,,,18,0歳から,月火水木金土,08:30,16:30,平日延長保育：平日午前7時30分から8時30分まで、午後4時30分から6時30分まで;土曜保育：午前8時30分から午後4時30分まで ;土曜延長保育：午前7時30分から8時30分まで、午後4時30分から6時30分まで,無,,小規模保育事業
222127,0013010042,静岡県,焼津市,保育所グロ―アップ大富園,ホイクショグロ―アップオオトミエン,認可私立保育所,静岡県焼津市中新田1091-2,,34.836808,138.288778,,,(054)631-6715,,(054)631-6716,,,,19,0歳から,月火水木金土,08:30,16:30,平日延長保育：平日午前7時30分から8時30分まで、午後4時30分から6時30分まで;土曜保育：午前8時30分から午後4時30分まで ;土曜延長保育：午前7時30分から8時30分まで、午後4時30分から6時30分まで,無,,小規模保育事業
222127,0013010043,静岡県,焼津市,HeartLink八楠保育園,ハ―トリンクヤグスホイクエン,認可私立保育所,静岡県焼津市八楠4-12-19,,34.880289,138.304994,,,(054)631-6856,,(054)631-6857,,,,19,0歳から,月火水木金土,09:00,17:00,平日延長保育：平日午前7時30分から9時まで、午後5時から6時30分まで;土曜保育：午前9時から午後5時まで ;土曜延長保育：午前7時30分から9時まで、午後5時から6時30分まで,無,,小規模保育事業
222127,0013010044,静岡県,焼津市,HeartLink柳新屋保育園,ハ―トリンクヤナギアラヤホイクエン,認可私立保育所,静岡県焼津市柳新屋886-1,,34.858512,138.289304,,,(054)631-6521,,(054)631-6522,,,,19,0歳から,月火水木金土,09:00,17:00,平日延長保育：平日午前7時30分から9時まで、午後5時から6時30分まで;土曜保育：午前9時から午後5時まで ;土曜延長保育：午前7時30分から9時まで、午後5時から6時30分まで,無,,小規模保育事業
222127,0013010045,静岡県,焼津市,八楠のんのん保育園,ヤグスノンノンホイクエン,認可私立保育所,静岡県焼津市八楠4-17-14,,34.878872,138.30297,,,(054)629-1700,,(054)629-1700,,,,19,0歳から,月火水木金土,08:30,16:30,平日延長保育：平日午前7時30分から8時30分まで、午後4時30分から6時30分まで;土曜保育：午前8時30分から午後4時30分まで ;土曜延長保育：午前7時30分から8時30分まで、午後4時30分から6時30分まで,無,,小規模保育事業
222127,0013010046,静岡県,焼津市,あいキッズランドやいづ園,アイキッズランドヤイヅエン,認可私立保育所,静岡県焼津市塩津201-23,,34.868511,138.308823,,,(054)668-9580,,(054)668-9580,,,,15,0歳から,月火水木金土,08:30,16:30,平日延長保育：平日午前7時30分から8時30分まで、午後4時30分から6時30分まで;土曜保育：午前8時30分から午後4時30分まで ;土曜延長保育：午前7時30分から8時30分まで、午後4時30分から6時30分まで,無,,小規模保育事業
222127,0013010047,静岡県,焼津市,ＣＯＣＯＲＯ保育園,ココロホイクエン,認可私立保育所,静岡県焼津市北新田396-1,,34.834246,138.321422,,,(054)637-9215,,(054)637-9217,,,,18,0歳から,月火水木金土,08:30,16:30,平日延長保育：平日午前7時30分から8時30分まで、午後4時30分から6時30分まで;土曜保育：午前8時30分から午後4時30分まで ;土曜延長保育：午前7時30分から8時30分まで、午後4時30分から6時30分まで,無,,小規模保育事業
222127,0013010048,静岡県,焼津市,Little Walkers 焼津中央,リトルウォ―カ―ズヤイヅチュウオウ,認可私立保育所,静岡県焼津市西小川2-10-23,,34.860832,138.308923,,,(054)625-7575 ,,(054)631-5706,,,,19,0歳から,月火水木金土,09:00,17:00,平日延長保育：平日午前7時30分から9時まで、午後5時から6時30分まで;土曜保育：午前9時から午後5時まで ;土曜延長保育：午前7時30分から9時まで、午後5時から6時30分まで,無,,小規模保育事業
222127,0013010049,静岡県,焼津市,常緑保育園(3歳以上),トキワホイクエン,認可外保育所,静岡県焼津市三ケ名1175 ,,34.862476,138.305511,,,(054)629-4753 ,,(054)641-5679,,,,0,3歳から,月火水木金土,07:30,18:30,土曜保育：午前7時30分から午後4時30分まで,無,,収容定員数については園に要確認
222127,0013010050,静岡県,焼津市,ちびっこランド西焼津園,チビッコランドニシヤイヅエン,認可外保育所,静岡県焼津市柳新屋646-1,A one yokoyama 2F,34.853722,138.289369,,,(054)626-0132,,(054)626-0132,,,,23,0歳から,月火水木金土,07:30,18:00,,無,,
222127,0013010051,静岡県,焼津市,ちびっこハウス八楠園,チビッコハウスヤグスエン,認可外保育所,静岡県焼津市八楠4-8-3,,34.878552,138.303399,,,(054)626-0225,,,,,,0,0歳から,月火水木金,07:30,18:00,,無,,収容定員数については園に要確認
222127,0013010052,静岡県,焼津市,CRECHE TIA SUZI,クレスチアス―ジィ,認可外保育所,静岡県焼津市田尻1589,,34.825206,138.318074,,,(054)624-8711,,,,,,0,0歳から,月火水木金土,08:00,17:00,,無,,収容定員数については園に要確認;主に外国籍の児童を受入
222127,0013010053,静岡県,焼津市,ハッピ―マ―ガレット,ハッピ―マ―ガレット,認可外保育所,静岡県焼津市焼津1-8-22,,34.866929,138.314267,,,090-9127-0870,,,,,,0,0歳から,月火水木金,08:00,18:00,,無,,収容定員数については園に要確認
222127,0013010055,静岡県,焼津市,きっずらんどすまいる,キッズランドスマイル,認可外保育所,静岡県焼津市上新田697-7,,34.818141,138.272271,,,090-8550-4016,,,,,,0,0歳から,月火水木金,08:00,18:00,,無,,収容定員数については園に要確認
222127,0013010056,静岡県,焼津市,もりのくまさん保育園,モリノクマサンホイクエン,認可私立保育所,静岡県焼津市三ケ名558-4,,34.856852,138.301331,,,(054)620-8070,,(054)620-8078,,,,16,0歳から,月火水木金土,08:30,16:30,平日延長保育：平日午前7時30分から8時30分まで、午後4時30分から6時30分まで;土曜保育：午前8時30分から午後4時30分まで ;土曜延長保育：午前7時30分から8時30分まで、午後4時30分から6時30分まで,無,,事業所内保育事業
222127,0013010057,静岡県,焼津市,JAおおいがわ茶果菜保育園とよだ,ジェイエイオオイガワチャカナホイクエントヨダ,認可外保育所,静岡県焼津市小土1070-2,,34.862801,138.287687,,,(054)626-1010,,,,,,18,0歳から,月火水木金土,07:00,18:00,,無,,企業主導型保育事業（地域枠あり）
222127,0013010058,静岡県,焼津市,にしやいづ保育所,ニシヤイヅホイクショ,認可外保育所,静岡県焼津市小柳津624,,34.852739,138.289774,,,(054)625-8270,,,,,,120,0歳から,月火水木金土日,06:30,19:00,,無,,企業主導型保育事業
222127,0013010059,静岡県,焼津市,岡本石井病院保育所　Nature Kids,オカモトイシイビョウインホイクショ　ネイチャーキッズ,認可外保育所,静岡県焼津市西小川5-17-17,,34.859732,138.306775,,,(054)629-3575,,,,,,12,0歳から,月火水木金土,07:00,20:00,,無,,企業主導型保育事業（地域枠あり）
222127,0013010060,静岡県,焼津市,プティ焼津園,プティヤイヅエン,認可外保育所,静岡県焼津市道原29-5,,34.836748,138.308768,,,(054)686-2388,,,,,,25,0歳から,月火水木金土日,07:30,18:00,,有,,企業主導型保育事業（地域枠あり）
222127,0013010061,静岡県,焼津市,保育園たぁそびさん,ホイクエンタァソビサン,認可外保育所,静岡県焼津市下江留1398-1,,34.808912,138.277171,,,(054)664-3101,,,,,,19,0歳から,月火水木金土,07:30,19:30,,無,,企業主導型保育事業（地域枠あり）
222127,0013010062,静岡県,焼津市,ガジュマル保育園,ガジュマルホイクエン,認可外保育所,静岡県焼津市小柳津638-4,,34.853357,138.289953,,,(054)625-9810,,,,,,19,0歳から,月火水木金土,07:30,18:30,,無,,企業主導型保育事業（地域枠あり）
