No.,土のうステーション置き場,住所,緯度,経度,画像,利用方法,利用上の注意,問合せについて,問合せ先,問合せ先電話番号,画像URL
11,港地域交流センター,静岡県焼津市石津港町40-1,34.840687,138.326408,https://openphoto.app/c/yaizu/photo/2825,"・白いカバーを取り外し、土のうを取り出してください。
・原則として、一世帯20袋までとさせていただきます。
・水防以外の利用目的での持ち出しは禁止とします。
・使用後の土のうは、返却せず、各世帯で保管等をお願いします。
・水害に備え、備蓄をお勧めします。","・土のうは、重いもので２０キログラム以上あります。
・運搬、積み降ろしの際は、十分注意してください。",・利用方法や土のうの補充等に関するお問い合わせは、問い合わせ先までお願いします。,焼津市河川課,(054)626-1118   ,https://yaizu-smartcity.jp/images/opendata/土のうステーション/港地域交流センター.png
12,田尻北公園,静岡県焼津市田尻北1284-1,34.83215,138.332234,https://openphoto.app/c/yaizu/photo/2826,"・白いカバーを取り外し、土のうを取り出してください。
・原則として、一世帯20袋までとさせていただきます。
・水防以外の利用目的での持ち出しは禁止とします。
・使用後の土のうは、返却せず、各世帯で保管等をお願いします。
・水害に備え、備蓄をお勧めします。","・土のうは、重いもので２０キログラム以上あります。
・運搬、積み降ろしの際は、十分注意してください。",・利用方法や土のうの補充等に関するお問い合わせは、問い合わせ先までお願いします。,焼津市河川課,(054)626-1118   ,https://yaizu-smartcity.jp/images/opendata/土のうステーション/田尻北公園.png
13,北新田公会堂,静岡県焼津市北新田224,34.832601,138.318996,https://openphoto.app/c/yaizu/photo/2827,"・白いカバーを取り外し、土のうを取り出してください。
・原則として、一世帯20袋までとさせていただきます。
・水防以外の利用目的での持ち出しは禁止とします。
・使用後の土のうは、返却せず、各世帯で保管等をお願いします。
・水害に備え、備蓄をお勧めします。","・土のうは、重いもので２０キログラム以上あります。
・運搬、積み降ろしの際は、十分注意してください。",・利用方法や土のうの補充等に関するお問い合わせは、問い合わせ先までお願いします。,焼津市河川課,(054)626-1118   ,https://yaizu-smartcity.jp/images/opendata/土のうステーション/北新田公会堂.png
14,田尻北浜北公会堂,静岡県焼津市田尻北1502-6,34.84046,138.332307,https://openphoto.app/c/yaizu/photo/2828,"・白いカバーを取り外し、土のうを取り出してください。
・原則として、一世帯20袋までとさせていただきます。
・水防以外の利用目的での持ち出しは禁止とします。
・使用後の土のうは、返却せず、各世帯で保管等をお願いします。
・水害に備え、備蓄をお勧めします。","・土のうは、重いもので２０キログラム以上あります。
・運搬、積み降ろしの際は、十分注意してください。",・利用方法や土のうの補充等に関するお問い合わせは、問い合わせ先までお願いします。,焼津市河川課,(054)626-1118   ,https://yaizu-smartcity.jp/images/opendata/土のうステーション/田尻北浜北公会堂.png
15,大富地域交流センター,静岡県焼津市中根新田93-1,34.838226,138.298448,https://openphoto.app/c/yaizu/photo/2829,"・白いカバーを取り外し、土のうを取り出してください。
・原則として、一世帯20袋までとさせていただきます。
・水防以外の利用目的での持ち出しは禁止とします。
・使用後の土のうは、返却せず、各世帯で保管等をお願いします。
・水害に備え、備蓄をお勧めします。","・土のうは、重いもので２０キログラム以上あります。
・運搬、積み降ろしの際は、十分注意してください。",・利用方法や土のうの補充等に関するお問い合わせは、問い合わせ先までお願いします。,焼津市河川課,(054)626-1118   ,https://yaizu-smartcity.jp/images/opendata/土のうステーション/大富地域交流センター.png
16,旧和田地域交流センター,静岡県焼津市田尻2002,34.82715,138.322297,https://openphoto.app/c/yaizu/photo/2830,"・白いカバーを取り外し、土のうを取り出してください。
・原則として、一世帯20袋までとさせていただきます。
・水防以外の利用目的での持ち出しは禁止とします。
・使用後の土のうは、返却せず、各世帯で保管等をお願いします。
・水害に備え、備蓄をお勧めします。","・土のうは、重いもので２０キログラム以上あります。
・運搬、積み降ろしの際は、十分注意してください。",・利用方法や土のうの補充等に関するお問い合わせは、問い合わせ先までお願いします。,焼津市河川課,(054)626-1118   ,https://yaizu-smartcity.jp/images/opendata/土のうステーション/旧和田地域交流センター.png
17,惣右衛門下公会堂,静岡県焼津市惣右衛門945,34.817327,138.317688,https://openphoto.app/c/yaizu/photo/2831,"・白いカバーを取り外し、土のうを取り出してください。
・原則として、一世帯20袋までとさせていただきます。
・水防以外の利用目的での持ち出しは禁止とします。
・使用後の土のうは、返却せず、各世帯で保管等をお願いします。
・水害に備え、備蓄をお勧めします。","・土のうは、重いもので２０キログラム以上あります。
・運搬、積み降ろしの際は、十分注意してください。",・利用方法や土のうの補充等に関するお問い合わせは、問い合わせ先までお願いします。,焼津市河川課,(054)626-1118   ,https://yaizu-smartcity.jp/images/opendata/土のうステーション/惣右衛門下公会堂.png
18,ターントクルこども館　とまとぴあ　,静岡県焼津市宗高1205-1,34.807992,138.2868,https://openphoto.app/c/yaizu/photo/2832,"・白いカバーを取り外し、土のうを取り出してください。
・原則として、一世帯20袋までとさせていただきます。
・水防以外の利用目的での持ち出しは禁止とします。
・使用後の土のうは、返却せず、各世帯で保管等をお願いします。
・水害に備え、備蓄をお勧めします。","・土のうは、重いもので２０キログラム以上あります。
・運搬、積み降ろしの際は、十分注意してください。",・利用方法や土のうの補充等に関するお問い合わせは、問い合わせ先までお願いします。,焼津市河川課,(054)626-1118   ,https://yaizu-smartcity.jp/images/opendata/土のうステーション/ターントクルこども館とまとぴあ.png
19,消防団16分団詰所,静岡県焼津市宗高856-1,34.800268,138.288218,https://openphoto.app/c/yaizu/photo/2833,"・白いカバーを取り外し、土のうを取り出してください。
・原則として、一世帯20袋までとさせていただきます。
・水防以外の利用目的での持ち出しは禁止とします。
・使用後の土のうは、返却せず、各世帯で保管等をお願いします。
・水害に備え、備蓄をお勧めします。","・土のうは、重いもので２０キログラム以上あります。
・運搬、積み降ろしの際は、十分注意してください。",・利用方法や土のうの補充等に関するお問い合わせは、問い合わせ先までお願いします。,焼津市河川課,(054)626-1118   ,https://yaizu-smartcity.jp/images/opendata/土のうステーション/消防団第16分団.png
20,大井川地域交流センター,静岡県焼津市宗高900,34.803696,138.283918,https://openphoto.app/c/yaizu/photo/2834,"・白いカバーを取り外し、土のうを取り出してください。
・原則として、一世帯20袋までとさせていただきます。
・水防以外の利用目的での持ち出しは禁止とします。
・使用後の土のうは、返却せず、各世帯で保管等をお願いします。
・水害に備え、備蓄をお勧めします。","・土のうは、重いもので２０キログラム以上あります。
・運搬、積み降ろしの際は、十分注意してください。",・利用方法や土のうの補充等に関するお問い合わせは、問い合わせ先までお願いします。,焼津市河川課,(054)626-1118   ,https://yaizu-smartcity.jp/images/opendata/土のうステーション/大井川地域交流センター.png
21,藤守自治会館,静岡県焼津市藤守387,34.807911,138.306395,https://openphoto.app/c/yaizu/photo/2835,"・白いカバーを取り外し、土のうを取り出してください。
・原則として、一世帯20袋までとさせていただきます。
・水防以外の利用目的での持ち出しは禁止とします。
・使用後の土のうは、返却せず、各世帯で保管等をお願いします。
・水害に備え、備蓄をお勧めします。","・土のうは、重いもので２０キログラム以上あります。
・運搬、積み降ろしの際は、十分注意してください。",・利用方法や土のうの補充等に関するお問い合わせは、問い合わせ先までお願いします。,焼津市河川課,(054)626-1118   ,https://yaizu-smartcity.jp/images/opendata/土のうステーション/藤守自治会館B.png
22,消防団2分団詰所,静岡県焼津市焼津 2-7-1,34.865962,138.31436,https://openphoto.app/c/yaizu/photo/2836,"・白いカバーを取り外し、土のうを取り出してください。
・原則として、一世帯20袋までとさせていただきます。
・水防以外の利用目的での持ち出しは禁止とします。
・使用後の土のうは、返却せず、各世帯で保管等をお願いします。
・水害に備え、備蓄をお勧めします。","・土のうは、重いもので２０キログラム以上あります。
・運搬、積み降ろしの際は、十分注意してください。",・利用方法や土のうの補充等に関するお問い合わせは、問い合わせ先までお願いします。,焼津市河川課,(054)626-1118   ,https://yaizu-smartcity.jp/images/opendata/土のうステーション/消防団第第2分団.png
23,消防団4分団詰所,静岡県焼津市駅北 3-11-16,34.873243,138.313972,https://openphoto.app/c/yaizu/photo/2837,"・白いカバーを取り外し、土のうを取り出してください。
・原則として、一世帯20袋までとさせていただきます。
・水防以外の利用目的での持ち出しは禁止とします。
・使用後の土のうは、返却せず、各世帯で保管等をお願いします。
・水害に備え、備蓄をお勧めします。","・土のうは、重いもので２０キログラム以上あります。
・運搬、積み降ろしの際は、十分注意してください。",・利用方法や土のうの補充等に関するお問い合わせは、問い合わせ先までお願いします。,焼津市河川課,(054)626-1118   ,https://yaizu-smartcity.jp/images/opendata/土のうステーション/消防団第4分団.png
24,消防団6分団詰所,静岡県焼津市浜当目 2-10-18,34.878516,138.331027,https://openphoto.app/c/yaizu/photo/2838,"・白いカバーを取り外し、土のうを取り出してください。
・原則として、一世帯20袋までとさせていただきます。
・水防以外の利用目的での持ち出しは禁止とします。
・使用後の土のうは、返却せず、各世帯で保管等をお願いします。
・水害に備え、備蓄をお勧めします。","・土のうは、重いもので２０キログラム以上あります。
・運搬、積み降ろしの際は、十分注意してください。",・利用方法や土のうの補充等に関するお問い合わせは、問い合わせ先までお願いします。,焼津市河川課,(054)626-1118   ,https://yaizu-smartcity.jp/images/opendata/土のうステーション/消防団第6分団.png
25,消防団8分団詰所,静岡県焼津市小土 1154-1,34.862319,138.286747,https://openphoto.app/c/yaizu/photo/2839,"・白いカバーを取り外し、土のうを取り出してください。
・原則として、一世帯20袋までとさせていただきます。
・水防以外の利用目的での持ち出しは禁止とします。
・使用後の土のうは、返却せず、各世帯で保管等をお願いします。
・水害に備え、備蓄をお勧めします。","・土のうは、重いもので２０キログラム以上あります。
・運搬、積み降ろしの際は、十分注意してください。",・利用方法や土のうの補充等に関するお問い合わせは、問い合わせ先までお願いします。,焼津市河川課,(054)626-1118   ,https://yaizu-smartcity.jp/images/opendata/土のうステーション/消防団第8分団.png
26,消防団10分団詰所,静岡県焼津市小川新町 4-6-23,34.853545,138.32088,https://openphoto.app/c/yaizu/photo/2840,"・白いカバーを取り外し、土のうを取り出してください。
・原則として、一世帯20袋までとさせていただきます。
・水防以外の利用目的での持ち出しは禁止とします。
・使用後の土のうは、返却せず、各世帯で保管等をお願いします。
・水害に備え、備蓄をお勧めします。","・土のうは、重いもので２０キログラム以上あります。
・運搬、積み降ろしの際は、十分注意してください。",・利用方法や土のうの補充等に関するお問い合わせは、問い合わせ先までお願いします。,焼津市河川課,(054)626-1118   ,https://yaizu-smartcity.jp/images/opendata/土のうステーション/消防団第10分団.png
27,消防団12分団詰所,静岡県焼津市中新田 518-1,34.838974,138.294796,https://openphoto.app/c/yaizu/photo/2841,"・白いカバーを取り外し、土のうを取り出してください。
・原則として、一世帯20袋までとさせていただきます。
・水防以外の利用目的での持ち出しは禁止とします。
・使用後の土のうは、返却せず、各世帯で保管等をお願いします。
・水害に備え、備蓄をお勧めします。","・土のうは、重いもので２０キログラム以上あります。
・運搬、積み降ろしの際は、十分注意してください。",・利用方法や土のうの補充等に関するお問い合わせは、問い合わせ先までお願いします。,焼津市河川課,(054)626-1118   ,https://yaizu-smartcity.jp/images/opendata/土のうステーション/消防団第12分団.png
28,消防団18分団詰所,静岡県焼津市吉永 492-8,34.793581,138.295358,https://openphoto.app/c/yaizu/photo/2842,"・白いカバーを取り外し、土のうを取り出してください。
・原則として、一世帯20袋までとさせていただきます。
・水防以外の利用目的での持ち出しは禁止とします。
・使用後の土のうは、返却せず、各世帯で保管等をお願いします。
・水害に備え、備蓄をお勧めします。","・土のうは、重いもので２０キログラム以上あります。
・運搬、積み降ろしの際は、十分注意してください。",・利用方法や土のうの補充等に関するお問い合わせは、問い合わせ先までお願いします。,焼津市河川課,(054)626-1118   ,https://yaizu-smartcity.jp/images/opendata/土のうステーション/消防団第18分団.png
29,消防団15分団詰所,静岡県焼津市田尻北 682-3,34.836228,138.330774,https://openphoto.app/c/yaizu/photo/2843,"・白いカバーを取り外し、土のうを取り出してください。
・原則として、一世帯20袋までとさせていただきます。
・水防以外の利用目的での持ち出しは禁止とします。
・使用後の土のうは、返却せず、各世帯で保管等をお願いします。
・水害に備え、備蓄をお勧めします。","・土のうは、重いもので２０キログラム以上あります。
・運搬、積み降ろしの際は、十分注意してください。",・利用方法や土のうの補充等に関するお問い合わせは、問い合わせ先までお願いします。,焼津市河川課,(054)626-1118   ,https://yaizu-smartcity.jp/images/opendata/土のうステーション/消防団第15分団.png
30,焼津北公会堂,静岡県焼津市栄町4丁目8-12,34.869745,138.318113,https://openphoto.app/c/yaizu/photo/7204,"・白いカバーを取り外し、土のうを取り出してください。
・原則として、一世帯20袋までとさせていただきます。
・水防以外の利用目的での持ち出しは禁止とします。
・使用後の土のうは、返却せず、各世帯で保管等をお願いします。
・水害に備え、備蓄をお勧めします。","・土のうは、重いもので２０キログラム以上あります。
・運搬、積み降ろしの際は、十分注意してください。",・利用方法や土のうの補充等に関するお問い合わせは、問い合わせ先までお願いします。,焼津市河川課,(054)626-1118   ,https://yaizu-smartcity.jp/images/opendata/土のうステーション/焼津北公会堂.png
