全国地方公共団体コード,法人番号,ID,地方公共団体名,イベント名,言語コード,イベント通称,サブタイトル,イベント名_カナ,イベント名_英語,コンテンツURL,状態,キーワード,タグ,対象となる産業,開催パターン,開始日,終了日,開始時間,終了時間,開始日時特記事項,所要時間,掲載開始日,掲載終了日,概要,説明,サブイベント,イベント種類,料金(基本),料金(詳細),連絡先名称,連絡先電話番号,連絡先内線番号,主催者,共催団体,関連組織,対象者,対象者備考,場所名称,集合（受付）場所,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,アクセス方法,駐車場情報,駐車場料金,駐輪場情報,Web開催,Web開催URL,ツール・環境,定員,定員備考,料金種別,決済種別,外国語対応,外国語対応備考,開催条件,参加申込終了日,参加申込終了時間,参加申込方法,申込開始日,申込開始時刻,申込URL,URL,授乳室,おむつ替えコーナー,飲食可否,ベビーカー貸出,ベビーカー利用,画像,画像_ライセンス,備考,イベントジャンル
222127,1.00E+12,19877,焼津市,第17回やいづ浜通り夏のあかり展「朗演会・琵琶演奏会in常照寺」,JA,,,,,https://www.city.yaizu.lg.jp/event/info-00309.html,,,,,,2026/9/4,2026/9/5,18:00,21:00,,,2026/8/12,2029/8/12,,文豪「小泉八雲」が滞在した焼津の浜通りで幻想的な夏の夜を過ごしてみませんか？,,,,無料,焼津小泉八雲記念館,054-620-0022,,,,,どなたでも,,【あかり展】浜通り,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222127,1.00E+12,19922,焼津市,親子深層水教室「脱塩水を使ったカラーゼリーづくり」,JA,,,,,https://www.city.yaizu.lg.jp/event/info-00325.html,,深層水;親子;教室;学び;,,,,2026/10/31,2026/10/31,10:00,11:30,,,2026/8/20,2026/12/25,,海洋深層水の基礎知識を学び、駿河湾深層水を用いた「カラーゼリーづくり」に挑戦しよう！,,,,参加費一組につき300円,漁港振興課,054-626-1129,,,,,こども向け,,深層水ミュージアム2階研修学習室,,,,静岡県焼津市鰯ヶ島136-24,,,,,,34.85872289,138.325826,,,,,,,,,10組（1組につき小学生は2人まで）（※）申込順,,,,,,,,,,,,,,,,,,,,,
222127,1.00E+12,19952,焼津市,「精神疾患をもつ家族の会」家族学習会,JA,,,,,https://www.city.yaizu.lg.jp/event/info-00337.html,,,,,,2026/8/29,2026/9/26,13:30,16:00,,,2026/6/4,2029/6/4,,精神疾患を持つ家族の方を対象に家族による家族学習会を開催します。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222127,1.00E+12,19991,焼津市,ハロウィン体験講座ージャック・オ・ランタンづくりー,JA,,,,,https://www.city.yaizu.lg.jp/event/info-00350.html,,,,,,2026/10/25,2026/10/25,13:30,15:30,,,2026/8/6,2029/8/6,,ハロウィンってなに？ケルトとハロウィンの小泉八雲,,,,500円,焼津小泉八雲記念館,054-620-0022,,,,,こども向け,,焼津小泉八雲記念館多目的室,,,,静岡県焼津市三ケ名1550,,,,,,34.86459122,138.3062498,,,,,,,,,10名,,,,,,,,申し込み開始日：2026年10月4日（日曜日）午前9時から申し込み開始,,,https://logoform.jp/form/tWbQ/1663366,,,,,,,,,,こども・子育て
222127,1.00E+12,20055,焼津市,リトル赤ちゃんの会（第4期）,JA,,,,,https://www.city.yaizu.lg.jp/event/info-00369.html,,,,,,2026/10/9,2026/10/30,10:00,11:30,,,2026/7/1,2029/6/29,,子育てをしていく中で感じる疑問や不安を話したり、これからの子育てに必要な知識を一緒に学んだりしませんか？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222127,1.00E+12,20056,焼津市,リトル赤ちゃんの会（第5期）,JA,,,,,https://www.city.yaizu.lg.jp/event/info-00370.html,,,,,,2026/11/30,2026/12/21,10:00,11:30,,,2026/7/1,2029/6/29,,子育てをしていく中で感じる疑問や不安を話したり、これからの子育てに必要な知識を一緒に学んだりしませんか？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222127,1.00E+12,20057,焼津市,リトル赤ちゃんの会（第6期）,JA,,,,,https://www.city.yaizu.lg.jp/event/info-00371.html,,,,,,2027/2/8,2027/3/1,10:00,11:30,,,2026/7/1,2029/6/29,,子育てをしていく中で感じる疑問や不安を話したり、これからの子育てに必要な知識を一緒に学んだりしませんか？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222127,1.00E+12,20087,焼津市,焼津神社朝市「壱の市」,JA,,,,,https://www.city.yaizu.lg.jp/event/info-00376.html,,マルシェ;朝市;焼津;焼津神社;祭り,,,,2026/9/1,2027/2/15,8:00,12:00,,,2026/8/12,2029/8/12,,焼津神社で、月次祭の毎月1日と15日に朝市を定期開催中です。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222127,1.00E+12,20108,焼津市,【特別展】焼津/YAIDZU、心の避暑地ー八雲と家族の夏日記,JA,,,,,https://www.city.yaizu.lg.jp/event/info-00382.html,,,,,,2025/9/28,2026/9/6,9:00,17:00,,,2026/3/19,2029/3/19,,八雲と家族が綴った書簡やスケッチ、関連作品、写真資料などを紹介し、焼津で紡がれた八雲の夏の記憶をたどります。,,,,無料,焼津小泉八雲記念館,054-620-0022,,,,,どなたでも,,焼津小泉八雲記念館,,,,静岡県焼津市三ケ名1550番地（焼津市文化センター内）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,学び・講座
222127,1.00E+12,20178,焼津市,ニュースポーツフェスティバル2026,JA,,,,,https://www.city.yaizu.lg.jp/event/newsportsfes.html,,ニュースポーツ,,,,2026/10/12,2026/10/12,9:00,12:00,,,2026/9/1,2037/12/31,,スポーツの日に合わせ「ニュースポーツフェスティバル2026」を開催します！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222127,1.00E+12,20241,焼津市,大井川民俗資料保管庫特別公開,JA,,,,,https://www.city.yaizu.lg.jp/event/info-00408.html,,,,,,2026/11/3,2026/11/3,9:00,14:00,,,2026/8/18,2029/8/18,,大井川民俗資料保管庫を来場者に特別公開します。ワークショップも開催！,,,,無料,焼津市歴史民俗資料館,054-629-6847,,,,,どなたでも,,大井川民俗資料保管庫,,,,静岡県焼津市宗高909番地の1,,,,,,34.80448304,138.2855339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,まつり・催し
222127,1.00E+12,20596,焼津市,ペアレント・トレーニングとおしゃべり会,JA,,,,,https://www.city.yaizu.lg.jp/event/kodomosoudan/info-00505.html,,ペアトレ;おしゃべり;ペアレント・トレーニング,,,,2026/7/9,2026/11/12,10:00,12:00,,,2026/6/23,2029/6/23,,「子どもが話を聞いてくれない」「子どもになんて声をかけて良いかわからない」「イライラしてつい子どもを怒ってしまう」…。子育ての中でこんな悩みを感じていませんか？焼津市のペアレント・トレーニングとおしゃべり会で、子どもへの上手な声のかけ方やかかわり方について、同じ悩みを持つ保護者と一緒に考えてみましょう！,,,,無料,こども相談課発達支援担当,054-626-1165,,,,,どなたでも,,焼津市役所アトレ庁舎2階会議室,,,,静岡県焼津市本町5丁目6番1号,,,,,,,,,,,,,,,,ペアレント・トレーニング…6名,,,,,,,,,,,,,,,,,,,,,
222127,1.00E+12,20709,焼津市,焼津市シルバー人材センター入会説明会（10月）,JA,,,,,https://www.city.yaizu.lg.jp/event/info-00535.html,,,,,,2026/10/13,2026/10/13,10:00,12:00,,,2026/7/28,2027/4/1,,元気に働きたいという方を対象に、入会説明会を開催しています。,,,,無料,公益社団法人焼津市シルバー人材センター,054-622-3510,,,,,高齢者向け,,小川地域交流センター,,,,静岡県焼津市南小川2丁目19番地の1,,,,,,,,,,,,,,,,,,,,,,,,焼津市シルバー人材センター（電話番号：054-622-3510）に電話で申し込む,,,,,,,,,,,,,その他
222127,1.00E+12,20713,焼津市,令和8年度焼津市親の会,JA,,,,,https://www.city.yaizu.lg.jp/event/kateishien/info-00538.html,,焼津市;親の会;不登校;登校渋り;非行,,,,2026/9/9,2027/3/10,19:00,20:30,,,2026/8/25,2029/8/25,,「不登校で困っている」「子どもとのかかわり方に悩んでいる」「今のままではよくないと思うが、どうすればよいか分からない。」…。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222127,1.00E+12,20727,焼津市,発達障害コミュニケーション初級指導者講座,JA,,,,,https://www.city.yaizu.lg.jp/event/dd_comm_seminar.html,,発達;コミュニケーション;講座;療育;研修,,,,2026/6/14,2027/1/24,9:30,16:45,,,2026/6/15,2029/6/15,,8月3日（月曜日）より2クールの申込を開始します！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222127,1.00E+12,20733,焼津市,だっこしておんぶしての会,JA,,,,,https://www.city.yaizu.lg.jp/event/info-00541.html,,,,,,2026/9/15,2026/9/15,10:00,10:30,,,2026/8/10,2029/8/10,,わらべうたや絵本の読み聞かせを通して、親子で触れ合う時間を楽しみましょう♪,,,,無料,子育て支援センターとまとぴあ,054-662-2300,,,,,対象者検索対象外,,子育て支援センターとまとぴあホール,,,,焼津市宗高1205-1,,,,,,34.80786584,138.2873188,,,,,,,,,10組（申込順）,,,,,,,,来所または電話でお申し込みください。,,,,,,,,,,,,,こども・子育て
222127,1.00E+12,20774,焼津市,９月23日は「手話の日」「手話言語の国際デー」ブルーライトアップ,JA,,,,,https://www.city.yaizu.lg.jp/event/shogaifukushi/info-00542.html,,手話;手話言語条例;手話は言語;手話言語の国際デー;手話の日,,,,2026/9/23,2026/9/23,17:30,18:30,,,2026/5/18,2029/5/18,,9月23日は「手話言語の国際デー」および「手話の日」です。 「手話言語の国際デー」は、手話が音声言語と対等であることを認識し、ろう者の人権保障を進めるため、国連で定められました。 国内においても、「手話に関する施策の推進に関する法律（手話施策推進法）」に伴い、同じ日が「手話の日」と定められ、各地でブルーライトアップが行われています。焼津市でも、市役所庁舎北側芝生広場で「手作りライトアップ」イベントを行います。,,,,無料,障害福祉課障害福祉担当,054-626-1127,,,,,どなたでも,,焼津市役所本庁舎北側芝生広場,,,,静岡県焼津市本町2丁目16-32,,,,,,,,,,,,,,,,なし,,,,,,,,事前申込不要。当日、午後5時30分に市役所本庁舎北側芝生広場にお集まりください。雨天時は、市民参加イベントは中止。ネオンサインの点灯のみ行います。,,,,,,,,,,,,,健康・福祉
222127,1.00E+12,20807,焼津市,焼津市シルバー人材センター入会説明会（9月）,JA,,,,,https://www.city.yaizu.lg.jp/event/info-00562.html,,,,,,2026/9/8,2026/9/8,10:00,11:00,,,2026/7/8,2027/7/8,,元気に働きたいという方を対象に、入会説明会を実施しています。,,,,無料,公益社団法人焼津市シルバー人材センター,054-622-3510,,,,,高齢者向け,,焼津市役所本庁舎5階会議室5B,,,,静岡県焼津市本町2丁目16-32,,,,,,,,,,,,,,,,,,,,,,,,焼津市シルバー人材センター（電話番号：054-622-3510）に電話で申し込む,,,,,,,,,,,,,その他
222127,1.00E+12,20823,焼津市,【市制施行75周年記念企画展】やまむら ともよが描く焼津の!! るーくんとやまどんの歴史探検,JA,,,,,https://www.city.yaizu.lg.jp/event/info-00570.html,,やまむらともよ;るーくん;やまどん;焼津の;焼津市,,,,2026/6/13,2026/10/18,9:00,17:00,,,2026/6/3,2037/12/31,,焼津市出身のイラストレーターやまむらともよ氏のイラストをナビゲーターとして、焼津の歴史・文化を紹介します。,,,,無料,焼津市歴史民俗資料館,054-629-6847,,,,,どなたでも,,焼津市歴史民俗資料館,,,,静岡県焼津市三ケ名1550番地（焼津文化センター内）,,,,,,34.86484563,138.3060051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,学び・講座
222127,1.00E+12,20866,焼津市,焼津フォーク村 昭和通り歌声広場,JA,,,,,https://www.city.yaizu.lg.jp/event/info-00583.html,,焼津フォーク村;焼津,,,,2026/7/5,2027/3/7,13:00,16:00,,,2026/6/23,2029/6/23,,市民団体「焼津フォーク村」による定期ライブです。懐かしのあの名曲、青春ソングを生演奏します。入場無料、出入り自由です。ご一緒に楽しみましょう！,,,,無料,焼津フォーク村事務局 内藤,090-6583-5671,,,,,どなたでも,,焼津市市民活動交流センター くるさ～,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222127,1.00E+12,20879,焼津市,高卒採用まるわかりセミナー,JA,,,,,https://www.city.yaizu.lg.jp/event/info-00585.html,,,,,,2026/9/15,2026/9/15,13:30,16:30,,,2026/6/10,2027/4/1,,高卒採用企業向けのセミナーです。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222127,1.00E+12,20904,焼津市,バスに乗って地域再発見の旅～瀬戸川沿いの歴史と伝承・東益津編～,JA,,,,,https://www.city.yaizu.lg.jp/event/info-00589.html,,バス;地域再発見の旅;瀬戸川;中里,,,,2026/10/10,2026/10/10,7:45,12:20,,,2026/8/31,2029/8/31,,バスを利用し、東益津の歴史をめぐるウオーキングツアーです。全行程約5.9キロ。,,,,400円（バス運賃200円×2回）,道路課,054-626-2166,,,,,どなたでも,,焼津駅南口（集合場所）,,,,静岡県焼津市栄町1丁目1番（集合場所）,,,,,,,,,,,,,,,,20人（申込多数の場合は抽選）,,,,,,,,2026年9月10日（木曜日）までに申し込みフォームまたは道路課へ電話,,,https://logoform.jp/form/tWbQ/1645943,,,,,,,,,,その他
222127,1.00E+12,20908,焼津市,フィールドツアーin志太三市 藤枝・焼津・島田市の未来を考えよう,JA,,,,,https://www.city.yaizu.lg.jp/event/info-00591.html,,,,,,2026/9/10,2026/9/11,10:30,17:30,,,2026/6/22,2027/4/1,,静岡県の真ん中「志太三市（島田市・藤枝市・焼津市）」を舞台に、先輩社会人や地域企業と交流しながら、地方創生に直結するアイディアを出し合い、地域の未来をプロデュースします。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222127,1.00E+12,20920,焼津市,フルーツゼリー作り,JA,,,,,https://www.city.yaizu.lg.jp/event/info-00595.html,,お菓子作り;フルーツゼリー;子ども;講座;大井川地域交流センター,,,,2026/9/12,2026/9/12,9:30,12:00,,,2026/7/16,2026/9/12,,ひんやり、あま～い、フルーツをたっぷり使ったゼリーを作りましょう！,,,,"1,000円（当日支払い）",大井川地域交流センター,054-622-3111,,,,,こども向け,,大井川地域交流センター調理室,,,,静岡県焼津市宗高900番地,,,,,,,,,,,,,,,,12人（抽選）,,,,,,,,2026年7月16日（木曜日）午前9時より電話（電話番号：054-622-3111）、窓口、申込フォームでお申し込みください。,,,,,,,,,,,,,
222127,1.00E+12,20926,焼津市,志太3市の若者と企業をつなぐ「校内仕事体験フェス」,JA,,,,,https://www.city.yaizu.lg.jp/event/info-00597.html,,,,,,2026/7/16,2027/2/26,0:00,0:00,,,2026/6/30,2037/12/31,,「未来の採用につなげたい」「地元のために自社の魅力をアピールしたい」とお考えの企業の皆さま、高校生に「仕事体験」を届ける特別な授業に参加しませんか？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
