ID,登録施設名,住所,方書,緯度,経度,業種,施設電話番号,提供内容,提供内容備考,提供時間,定休日,写真1,写真2,写真3,写真4,写真5,写真6,写真7,写真8,写真9,写真10,写真11,写真12,写真13
0000045,株式会社　丸一家具センター,静岡県焼津市焼津3丁目9-37,,34.863797,138.31084,家具、雑貨販売,(054)628-4101,おむつ替え,,（日～木）10:00～19:00（金、土）10:00～20:00,水曜日,https://openphoto.app/c/yaizu/photo/8880,https://openphoto.app/c/yaizu/photo/8881,https://openphoto.app/c/yaizu/photo/8882,,,,,,,,,,
0000046,富士屋　　焼津東名店,静岡県焼津市八楠4丁目9番地の8,,34.878945,138.304528,スーパーマーケット,(054)629-6171,おむつ替え,,9:00～22:00,1月1、2日,,,,,,,,,,,,,
0000047,株式会社セリア　西焼津店,静岡県焼津市小柳津499-1,,34.853696,138.286737,小売業,(054)631-6602,おむつ替え,,10:00～20:00,無休（正月除く）,https://openphoto.app/c/yaizu/photo/8883,https://openphoto.app/c/yaizu/photo/8884,https://openphoto.app/c/yaizu/photo/8885,,,,,,,,,,
0000048,杏林堂スーパードラッグストア　焼津与惣次店,静岡県焼津市与惣次197-1,,34.846012,138.311981,小売業,(054)656-1711,おむつ替え,,9:00～22:00,年中無休,https://openphoto.app/c/yaizu/photo/8886,https://openphoto.app/c/yaizu/photo/8887,https://openphoto.app/c/yaizu/photo/8888,,,,,,,,,,
0000049,雅正庵　焼津西小川店,静岡県焼津市西小川6丁目5-1,,34.854103,138.304275,販売、カフェ,(054)620-7800,おむつ替え,,10:00～19:00,1月1日,,,,,,,,,,,,,
0000050,ウエルシア焼津　下小田店,静岡県焼津市祢宜島572-1,,34.837831,138.312662,ドラッグストア,(054)656-1760,おむつ替え,,9:00～24:00,年中無休,,,,,,,,,,,,,
0000051,ウエルシア焼津　小柳津店,静岡県焼津市小柳津218-1,,34.853422,138.282939,ドラッグストア,(054)629-8814,おむつ替え,,9:00～24:00,年中無休,,,,,,,,,,,,,
0000052,ウエルシア焼津　三ケ名店,静岡県焼津市三ケ名794,,34.859703,138.299523,ドラッグストア,(054)620-7038,おむつ替え,,9:00～24:00,年中無休,,,,,,,,,,,,,
0000053,ウエルシア焼津　田尻北店,静岡県焼津市田尻北261,,34.832842,138.3256,ドラッグストア,(054)656-1188,おむつ替え,,9:00～24:00,年中無休,,,,,,,,,,,,,
0000054,ウエルシア焼津　新焼津店,静岡県焼津市焼津4-6-20,,34.861885,138.31391,薬局,(054)621-3788,おむつ替え,,（月・火・水・金）8:30～18:00（木）8:30～13:00（土）8:30～14:00,日曜日,,,,,,,,,,,,,
0000055,ウェルシア焼津　東小川店,静岡県焼津市東小川二丁目２番６号,,34.85693,138.317374,ドラッグストア,(054)621-5211,おむつ替え,,9:00～24:00,年中無休,,,,,,,,,,,,,
0000056,株式会社ノジマ　焼津店,静岡県焼津市西小川１丁目3-5,,34.859779,138.311708,家電量販店,(054)621-5361,おむつ替え,,10:00～20:00,年中無休,,,,,,,,,,,,,
0000057,石津浜公園,静岡県焼津市石津2420,,34.842104,138.334507,公共施設,(054)626-2165,おむつ替え,,終日,無し,https://openphoto.app/c/yaizu/photo/8889,https://openphoto.app/c/yaizu/photo/8890,https://openphoto.app/c/yaizu/photo/8891,,,,,,,,,,
0000058,松原公園,静岡県焼津市田尻北698,,34.835679,138.331487,公共施設,(054)626-2165,おむつ替え,,終日,無し,https://openphoto.app/c/yaizu/photo/8892,https://openphoto.app/c/yaizu/photo/8893,https://openphoto.app/c/yaizu/photo/8894,https://openphoto.app/c/yaizu/photo/8895,https://openphoto.app/c/yaizu/photo/8896,https://openphoto.app/c/yaizu/photo/8897,https://openphoto.app/c/yaizu/photo/8898,,,,,,
0000059,石津西公園,静岡県焼津市石津421-3,,34.842496,138.313751,公共施設,(054)626-2165,おむつ替え,,終日,無し,https://openphoto.app/c/yaizu/photo/8899,https://openphoto.app/c/yaizu/photo/8900,https://openphoto.app/c/yaizu/photo/8901,https://openphoto.app/c/yaizu/photo/8902,https://openphoto.app/c/yaizu/photo/8903,https://openphoto.app/c/yaizu/photo/8904,,,,,,,
0000060,小川公園,静岡県焼津市小川2718,,34.84933,138.313743,公共施設,(054)626-2165,おむつ替え,,終日,無し,https://openphoto.app/c/yaizu/photo/8905,https://openphoto.app/c/yaizu/photo/8906,https://openphoto.app/c/yaizu/photo/8907,,,,,,,,,,
0000061,中公園,静岡県焼津市駅北五丁目10,,34.876337,138.323855,公共施設,(054)626-2165,おむつ替え,,終日,無し,https://openphoto.app/c/yaizu/photo/8908,https://openphoto.app/c/yaizu/photo/8909,,,,,,,,,,,
0000062,河原富士見公園,静岡県焼津市中根新田1360,,34.828017,138.288685,公共施設,(054)626-2165,おむつ替え,,終日,無し,https://openphoto.app/c/yaizu/photo/8910,https://openphoto.app/c/yaizu/photo/8911,https://openphoto.app/c/yaizu/photo/8912,https://openphoto.app/c/yaizu/photo/8913,https://openphoto.app/c/yaizu/photo/8914,https://openphoto.app/c/yaizu/photo/8915,https://openphoto.app/c/yaizu/photo/8916,,,,,,
0000063,清見田公園,静岡県焼津市三ケ名1626,,34.865921,138.306271,公共施設,(054)626-2165,おむつ替え,,終日,無し,https://openphoto.app/c/yaizu/photo/8917,https://openphoto.app/c/yaizu/photo/8918,,,,,,,,,,,
0000064,大覚寺公園,静岡県焼津市大覚寺三丁目3番,,34.874939,138.303299,公共施設,(054)626-2165,おむつ替え,,終日,無し,https://openphoto.app/c/yaizu/photo/8919,https://openphoto.app/c/yaizu/photo/8920,https://openphoto.app/c/yaizu/photo/8921,https://openphoto.app/c/yaizu/photo/8922,https://openphoto.app/c/yaizu/photo/8923,,,,,,,,
0000065,親水広場ふぃしゅーな,静岡県焼津市鰯ケ島136-28,,34.857317,138.327635,公共施設,(054)628-3126,おむつ替え,,終日,年中無休,https://openphoto.app/c/yaizu/photo/8924,https://openphoto.app/c/yaizu/photo/8925,https://openphoto.app/c/yaizu/photo/8926,https://openphoto.app/c/yaizu/photo/8927,https://openphoto.app/c/yaizu/photo/8928,,,,,,,,
0000066,焼津市消防防災センター,静岡県焼津市石津728番地の2,,34.84308,138.309627,公共施設,(054)625-0128,おむつ替え,,8:30～17:15,無し,https://openphoto.app/c/yaizu/photo/8929,https://openphoto.app/c/yaizu/photo/8930,https://openphoto.app/c/yaizu/photo/8931,https://openphoto.app/c/yaizu/photo/8932,https://openphoto.app/c/yaizu/photo/8933,https://openphoto.app/c/yaizu/photo/8934,https://openphoto.app/c/yaizu/photo/8935,https://openphoto.app/c/yaizu/photo/8936,,,,,
0000067,ホテルアンビア松風閣,静岡県焼津市浜当目1541,,34.884474,138.337237,ホテル,(054)628-3131,おむつ替え,,24時間,年中無休,https://openphoto.app/c/yaizu/photo/8937,https://openphoto.app/c/yaizu/photo/8938,https://openphoto.app/c/yaizu/photo/8939,,,,,,,,,,
0000068,タイヤ館焼津,静岡県焼津市与惣次60街区５,,34.845927,138.312806,自動車用タイヤ及びカー用品販売取付,(054)624-7910,おむつ替え,,10:30～19:00,水曜日,https://openphoto.app/c/yaizu/photo/8940,https://openphoto.app/c/yaizu/photo/8941,,,,,,,,,,,
0000069,コミュニティーホスピタル　甲賀病院,静岡県焼津市大覚寺二丁目30番地の１,,34.875595,138.299901,医療,(054)628-5500,おむつ替え,,9:00～17:00,日曜日、祝日、年末年始,,,,,,,,,,,,,
