NO,市区町村コード,都道府県名,市区町村名,名称,名称_カナ,住所,方書,緯度,経度,電話番号,区分,備考
18,222127,静岡県,焼津市,港小学校,ミナトショウガッコウ,静岡県焼津市石津港町40-2,,34.84102822,138.3271316,(054)624-0210,市有,津波避難ビル
19,222127,静岡県,焼津市,焼津東小学校,ヤイヅヒガシショウガッコウ,静岡県焼津市栄5-14-1,,34.86788346,138.3187131,(054)628-6348,市有,津波避難ビル
20,222127,静岡県,焼津市,焼津西小学校,ヤイヅニシショウガッコウ,静岡県焼津市塩津117-1,,34.86599739,138.3101429,(054)628-3064,市有,津波避難ビル
21,222127,静岡県,焼津市,焼津南小学校,ヤイヅミナミショウガッコウ,静岡県焼津市焼津5-5-1,,34.86105357,138.3171261,(054)628-2321,市有,津波避難ビル
22,222127,静岡県,焼津市,小川小学校,コガワショウガッコウ,静岡県焼津市小川2525,,34.84983087,138.3162615,(054)624-3097,市有,津波避難ビル
23,222127,静岡県,焼津市,豊田小学校,トヨダショウガッコウ,静岡県焼津市五ヶ堀之内2,,34.86342764,138.2903738,(054)628-3201,市有,津波避難ビル
24,222127,静岡県,焼津市,東益津小学校,ヒガシマシヅショウガッコウ,静岡県焼津市石脇上65,,34.88663033,138.3198499,(054)628-4427,市有,津波避難ビル
25,222127,静岡県,焼津市,大富小学校,オオトミショウガッコウ,静岡県焼津市中根新田637,,34.83413718,138.2946013,(054)624-4316,市有,津波避難ビル
26,222127,静岡県,焼津市,和田小学校,ワダショウガッコウ,静岡県焼津市田尻541,,34.82755478,138.3209812,(054)624-4507,市有,津波避難ビル
27,222127,静岡県,焼津市,黒石小学校,クロイシショウガッコウ,静岡県焼津市大住1246,,34.85073547,138.300699,(054)629-4855,市有,津波避難ビル
28,222127,静岡県,焼津市,大井川西小学校,オオイガワニシショウガッコウ,静岡県焼津市上泉1688-1,,34.81446236,138.2648296,(054)622-0049,市有,津波避難ビル
29,222127,静岡県,焼津市,大井川東小学校,オオイガワヒガシショウガッコウ,静岡県焼津市宗高428,,34.8076118,138.2931685,(054)622-0010,市有,津波避難ビル
30,222127,静岡県,焼津市,大井川南小学校,オオイガワミナミショウガッコウ,静岡県焼津市吉永490,,34.79464099,138.2945717,(054)622-0104,市有,津波避難ビル
31,222127,静岡県,焼津市,大井川中学校,オオイガワチュウガッコウ,静岡県焼津市下江留191,,34.80115084,138.2815338,(054)622-0038,市有,津波避難ビル
32,222127,静岡県,焼津市,焼津中学校,ヤイヅチュウガッコウ,静岡県焼津市焼津2-10-28,,34.86487116,138.3121082,(054)628-7255,市有,津波避難ビル
33,222127,静岡県,焼津市,大村中学校,オオムラチュウガッコウ,静岡県焼津市大村3-25-1,,34.87178479,138.3042764,(054)628-3851,市有,津波避難ビル
34,222127,静岡県,焼津市,小川中学校,コガワチュウガッコウ,静岡県焼津市東小川4-21-1,,34.85302495,138.3136788,(054)628-3777,市有,津波避難ビル
35,222127,静岡県,焼津市,港中学校,ミナトチュウガッコウ,静岡県焼津市田尻北584,,34.83841291,138.330118,(054)624-6010,市有,津波避難ビル
36,222127,静岡県,焼津市,豊田中学校,トヨダチュウガッコウ,静岡県焼津市小土301-2,,34.86809214,138.2931517,(054)627-1166,市有,津波避難ビル
37,222127,静岡県,焼津市,東益津中学校,ヒガシマシヅチュウガッコウ,静岡県焼津市中里416,,34.88518667,138.3191073,(054)628-4428,市有,津波避難ビル
38,222127,静岡県,焼津市,大富中学校,オオトミチュウガッコウ,静岡県焼津市中根1-1,,34.8393193,138.298196,(054)624-4329,市有,津波避難ビル
39,222127,静岡県,焼津市,和田中学校,ワダチュウガッコウ,静岡県焼津市田尻1984,,34.82647151,138.3209651,(054)624-4339,市有,津波避難ビル
40,222127,静岡県,焼津市,（県）焼津水産高等学校,ヤイヅスイサンコウトウガッコウ,静岡県焼津市焼津5-5-2,,34.8600236,138.3175439,(054)628-6148,県有,津波避難ビル
41,222127,静岡県,焼津市,（県）焼津中央高等学校,ヤイヅチュウオウコウトウガッコウ,静岡県焼津市小土157-1,,34.86753068,138.2898049,(054)628-6000,県有,津波避難ビル
42,222127,静岡県,焼津市,（県）清流館高等学校,セイリュウカンコウトウガッコウ,静岡県焼津市上新田292-1,,34.82074429,138.274876,(054)622-3411,県有,津波避難ビル
43,222127,静岡県,焼津市,（県）漁業高等学園,ギョギョウコウトウガクエン,静岡県焼津市小川3747-2,,34.852292,138.322533,(054)627-0219,県有,津波避難ビル
44,222127,静岡県,焼津市,（県）焼津青少年の家,ヤイヅセイショウネンノイエ,静岡県焼津市石津2259-408,,34.842765,138.333884,(054)624-4675,県有,津波避難ビル
45,222127,静岡県,焼津市,焼津市役所,ヤイヅシヤクショ,静岡県焼津市本町2-16-32,,34.867221,138.322876,(054)626-1111,市有,津波避難ビル
46,222127,静岡県,焼津市,焼津地域交流センター,ヤイヅチイキコウリュウセンター,静岡県焼津市本町5-6-1,,34.86305468,138.3204072,(054)626-0888,市有,津波避難ビル
47,222127,静岡県,焼津市,小川地域交流センター,コガワチイキコウリュウセンター,静岡県焼津市小川2724-1,,34.84899322,138.3131672,(054)624-8191,市有,津波避難ビル
48,222127,静岡県,焼津市,サンライフ焼津,サンライフヤイヅ,静岡県焼津市中港3-3-12,,34.873882,138.325299,(054)627-3377,市有,津波避難ビル
49,222127,静岡県,焼津市,（私）焼津高等学校,ヤイヅコウトウガッコウ,静岡県焼津市中港1-1-8,,34.872478,138.320484,(054)628-7235,民間,津波避難ビル
50,222127,静岡県,焼津市,ディスカバリーパーク焼津天文科学館,ディスカバリーパークヤイヅテンモンカガクカン,静岡県焼津市田尻2968-1,,34.82279329,138.3316444,(054)625-0800,市有,津波避難ビル
51,222127,静岡県,焼津市,深層水ミュージアム,シンソウスイミュージアム,静岡県焼津市鰯ケ島136-24,,34.85871089,138.325884,(054)620-5782,市有,津波避難ビル
52,222127,静岡県,焼津市,アクアスやいづ,アクアスヤイヅ,静岡県焼津市鰯ケ島136-26,,34.857099,138.326688,(054)621-0200,市有,津波避難ビル
53,222127,静岡県,焼津市,うみえ～る焼津,ウミエールヤイヅ,静岡県焼津市鰯ケ島136-26,,34.85682843,138.3266033,(054)626-1551,市有,津波避難ビル
54,222127,静岡県,焼津市,静岡県水産・海洋技術研究所,シズオカケンスイサンカイヨウギジュツケンキュウジョ,静岡県焼津市鰯ケ島136-24,,34.859177,138.325011,(054)627-1815,県有,津波避難ビル
55,222127,静岡県,焼津市,市営住宅西松原団地４５年棟,シエイジュウタクニシマツバラダンチヨンジュウゴネントウ,静岡県焼津市田尻北1342-2,,34.833167,138.333820,-,市有,津波避難ビル
56,222127,静岡県,焼津市,市営住宅西松原団地４６年棟,シエイジュウタクニシマツバラダンチヨンジュウロクネントウ,静岡県焼津市田尻北1342-2,,34.833034,138.334313,-,市有,津波避難ビル
57,222127,静岡県,焼津市,市営住宅成案侍団地４７年棟,シエイジュウタクジョウアンジダンチヨンジュウシチネントウ,静岡県焼津市惣右衛門1183,,34.816917,138.319454,-,市有,津波避難ビル
58,222127,静岡県,焼津市,市営住宅成案侍団地４８年棟,シエイジュウタクジョウアンジダンチヨンジュウハチネントウ,静岡県焼津市惣右衛門1183,,34.816662,138.319421,-,市有,津波避難ビル
59,222127,静岡県,焼津市,市営住宅塩津団地,シエイジュウタクシオツダンチ,静岡県焼津市塩津216-1,,34.868499,138.306558,-,市有,津波避難ビル
60,222127,静岡県,焼津市,市営住宅柳新屋団地,シエイジュウタクヤナギアラヤダンチ,静岡県焼津市柳新屋603-1,,34.854607,138.288115,-,市有,津波避難ビル
61,222127,静岡県,焼津市,市営住宅八楠団地,シエイジュウタクヤグスダンチ,静岡県焼津市八楠2-7-1,,34.878956,138.312533,-,市有,津波避難ビル
62,222127,静岡県,焼津市,市営住宅田尻西団地６３年棟,シエイジュウタクタジリニシダンチロクジュウサンネントウ,静岡県焼津市田尻95,,34.827469,138.316181,-,市有,津波避難ビル
63,222127,静岡県,焼津市,市営住宅田尻西団地元年棟,シエイジュウタクタジリニシダンチガンネントウ,静岡県焼津市田尻95,,34.827768,138.316171,-,市有,津波避難ビル
64,222127,静岡県,焼津市,市営住宅富士見団地Ａ棟,シエイジュウタクフシミダンチエートウ,静岡県焼津市北新田75,,34.831775,138.314100,-,市有,津波避難ビル
65,222127,静岡県,焼津市,市営住宅富士見団地Ｂ棟,シエイジュウタクフシミダンチビートウ,静岡県焼津市北新田75,,34.832048,138.314078,-,市有,津波避難ビル
66,222127,静岡県,焼津市,市営住宅富士見団地Ｃ棟,シエイジュウタクフシミダンチシートウ,静岡県焼津市北新田75,,34.832330,138.313993,-,市有,津波避難ビル
67,222127,静岡県,焼津市,市営住宅請所団地Ａ棟,シエイジュウタクウケショダンチエートウ,静岡県焼津市治長請所196,,34.834181,138.276536,-,市有,津波避難ビル
68,222127,静岡県,焼津市,市営住宅請所団地Ｂ棟,シエイジュウタクウケショダンチビートウ,静岡県焼津市治長請所196,,34.833922,138.276637,-,市有,津波避難ビル
69,222127,静岡県,焼津市,市営住宅宗高団地１号棟,シエイジュウタクムナダカダンチイチゴウトウ,静岡県焼津市宗高368-1,,34.807375,138.289593,-,市有,津波避難ビル
70,222127,静岡県,焼津市,市営住宅宗高団地２号棟,シエイジュウタクムナダカダンチニゴウトウ,静岡県焼津市宗高368-1,,34.806891,138.289448,-,市有,津波避難ビル
71,222127,静岡県,焼津市,市営住宅宗高団地３号棟,シエイジュウタクムナダカダンチサンゴウトウ,静岡県焼津市宗高368-1,,34.807388,138.289625,-,市有,津波避難ビル
72,222127,静岡県,焼津市,市営住宅宗高団地Ａ棟,シエイジュウタクムナダカダンチエートウ,静岡県焼津市宗高368-1,,34.806402,138.289882,-,市有,津波避難ビル
73,222127,静岡県,焼津市,市営住宅宗高団地Ｂ棟,シエイジュウタクムナダカダンチビートウ,静岡県焼津市宗高368-1,,34.806534,138.290113,-,市有,津波避難ビル
74,222127,静岡県,焼津市,市営住宅宗高団地Ｃ棟,シエイジュウタクムナダカダンチシートウ,静岡県焼津市宗高368-1,,34.806239,138.290231,-,市有,津波避難ビル
75,222127,静岡県,焼津市,市営住宅宗高団地Ｄ棟,シエイジュウタクムナダカダンチディートウ,静岡県焼津市宗高368-1,,34.806137,138.289802,-,市有,津波避難ビル
76,222127,静岡県,焼津市,市営住宅保福島団地,シエイジュウタクホフクジマダンチ,静岡県焼津市保福島1176,,34.868462,138.286301,-,市有,津波避難ビル
77,222127,静岡県,焼津市,県営住宅田尻団地１号棟,ケンエイジュウタクタジリダンチイチゴウトウ,静岡県焼津市すみれ台1-22,,34.831585,138.32486,-,県有,津波避難ビル
78,222127,静岡県,焼津市,県営住宅田尻団地２号棟,ケンエイジュウタクタジリダンチニゴウトウ,静岡県焼津市すみれ台1-18,,34.831566,138.324066,-,県有,津波避難ビル
79,222127,静岡県,焼津市,県営住宅田尻団地Ｅ,ケンエイジュウタクタジリダンチイートウ,静岡県焼津市すみれ台1-16,,34.831135,138.324219,-,県有,津波避難ビル
80,222127,静岡県,焼津市,県営住宅田尻団地Ｆ,ケンエイジュウタクタジリダンチエフトウ,静岡県焼津市すみれ台1-14,,34.831078,138.323578,-,県有,津波避難ビル
81,222127,静岡県,焼津市,県営住宅田尻団地Ｇ,ケンエイジュウタクタジリダンチジートウ,静岡県焼津市すみれ台1-17,,34.831375,138.324112,-,県有,津波避難ビル
82,222127,静岡県,焼津市,県営住宅田尻団地Ｊ,ケンエイジュウタクタジリダンチジェイトウ,静岡県焼津市すみれ台1-13,,34.831364,138.323456,-,県有,津波避難ビル
83,222127,静岡県,焼津市,大井川庁舎,オオイガワチョウシャ,静岡県焼津市宗高900,,34.803716,138.284334,(054)662-0591,市有,津波避難ビル
84,222127,静岡県,焼津市,総合福祉会館,ソウゴウフクシカイカン,静岡県焼津市大覚寺3-2-2,,34.87565451,138.3045385,(054)627-2111,市有,津波避難ビル
85,222127,静岡県,焼津市,保健センター,ホケンセンター,静岡県焼津市東小川1-8-1,,34.86008679,138.3131724,(054)627-4111,市有,津波避難ビル
86,222127,静岡県,焼津市,焼津消防署大井川分署,ヤイヅショウボウショオオイガワブンショ,静岡県焼津市宗高909-1,,34.804426,138.284821,(054)622-2441,市有,津波避難ビル
87,222127,静岡県,焼津市,焼津消防署東分署,ヤイヅショウボウショヒガシブンショ,静岡県焼津市焼津6-5-18,,34.864029,138.318054,(054)628-4188,市有,津波避難ビル
88,222127,静岡県,焼津市,焼津文化会館,ヤイヅブンカカイカン,静岡県焼津市三ケ名1550,,34.86466037,138.3057186,(054)627-3111,市有,津波避難ビル
89,222127,静岡県,焼津市,静岡県中部看護専門学校,シズオカケンチュウブカンゴセンモンガッコウ,静岡県焼津市東小川1-6-9,,34.860785,138.313700,(054)629-4311,県有,津波避難ビル
90,222127,静岡県,焼津市,焼津市立総合病院,ヤイヅシリツソウゴウビョウイン,静岡県焼津市道原1000,,34.83795035,138.3060301,(054)623-3111,市有,津波避難ビル
91,222127,静岡県,焼津市,静岡福祉大学,シズオカフクシダイガク,静岡県焼津市本中根549-1,,34.829826,138.296936,(054)623-7000,民間,津波避難ビル
92,222127,静岡県,焼津市,特別養護老人ホ－ムつばさ,トクベツヨウゴロウジンホームツバサ,静岡県焼津市田尻北792-1,,34.834343,138.330307,(054)656-0656,民間,津波避難ビル
93,222127,静岡県,焼津市,石津保育園,イシヅホイクエン,静岡県焼津市石津中町16-7,,34.841539,138.324692,(054)624-5839,市有,津波避難ビル
94,222127,静岡県,焼津市,B.B.BOX 焼津,ビービーボックスヤイヅ,静岡県焼津市本町2-2-1,,34.867903,138.321200,-,民間,津波避難ビル
95,222127,静岡県,焼津市,中港タワー,ナカミナトタワー,静岡県焼津市中港5-463,,34.87512688,138.3270609,(054)625-0128,市有,津波避難タワー
96,222127,静岡県,焼津市,いせぎタワー,イセギタワー,静岡県焼津市小川新町2-1628-1,,34.85643011,138.3219033,(054)625-0128,市有,津波避難タワー
97,222127,静岡県,焼津市,エゲタワー,エゲタワー,焼津市会下ノ島石津土地区画整理区域内,,34.84650858,138.3233378,(054)625-0128,市有,津波避難タワー
98,222127,静岡県,焼津市,石津浜公園タワー,イシヅハマコウエンタワー,静岡県焼津市石津2259-358,,34.84565104,138.3309749,(054)625-0128,市有,津波避難タワー
99,222127,静岡県,焼津市,ノア飯淵タワー,ノアハブチタワー,静岡県焼津市飯淵551,,34.78716612,138.2824557,(054)625-0128,市有,津波避難タワー
100,222127,静岡県,焼津市,六軒屋海辺タワー,ロッケンヤウミベタワー,静岡県焼津市利右衛門2432-1,,34.78965242,138.2990609,(054)625-0128,市有,津波避難タワー
101,222127,静岡県,焼津市,原浜タワー,ハラハマタワー,静岡県焼津市田尻2775-1,,34.82669769,138.3323125,(054)625-0128,市有,津波避難タワー
102,222127,静岡県,焼津市,平公園タワー,ダイラコウエンタワー,静岡県焼津市高新田2326-1,,34.80110903,138.3123193,(054)625-0128,市有,津波避難タワー
103,222127,静岡県,焼津市,須賀タワー,スガタワー,静岡県焼津市焼津5-636-1,,34.8623953,138.3189958,(054)625-0128,市有,津波避難タワー
104,222127,静岡県,焼津市,八反田公園タワー,ハッタンダコウエンタワー,静岡県焼津市東小川3-1238-2,,34.85635338,138.3160406,(054)625-0128,市有,津波避難タワー
105,222127,静岡県,焼津市,石津タワー,イシヅタワー,静岡県焼津市石津向町2-1,,34.84382981,138.3206842,(054)625-0128,市有,津波避難タワー
106,222127,静岡県,焼津市,本町タワー,ホンマチタワー,静岡県焼津市本町3-747-1,,34.86558235,138.3214675,(054)625-0128,市有,津波避難タワー
107,222127,静岡県,焼津市,あさひタワー,アサヒタワー,静岡県焼津市駅北3-17-1,,34.87595642,138.3143191,(054)625-0128,市有,津波避難タワー
108,222127,静岡県,焼津市,吉永ふれあい広場タワー,ヨシナガフレアイヒロバタワー,静岡県焼津市吉永1770-2,,34.79170617,138.3005121,(054)625-0128,市有,津波避難タワー
109,222127,静岡県,焼津市,藤守南浜タワー,フジモリミナミハマタワー,静岡県焼津市藤守2115-1,,34.80650819,138.3152131,(054)625-0128,市有,津波避難タワー
110,222127,静岡県,焼津市,こすぎタワー,コスギタワー,静岡県焼津市下小杉480-1,,34.8110698,138.3124615,(054)625-0128,市有,津波避難タワー
111,222127,静岡県,焼津市,本川橋タワー,ホンカワバシタワー,静岡県焼津市利右衛門376-1,,34.7915927,138.2899306,(054)625-0128,市有,津波避難タワー
112,222127,静岡県,焼津市,浜当目地区安全タワー,ハマトウメチクアンゼンタワー,静岡県焼津市浜当目2-1805-2,,34.87638989,138.3301278,(054)625-0128,市有,津波避難タワー
113,222127,静岡県,焼津市,下小田タワー,シモオダタワー,静岡県焼津市下小田416-1,,34.83889825,138.3253353,(054)625-0128,市有,津波避難タワー
114,222127,静岡県,焼津市,惣右衛門防災タワー,ソウエモンボウサイタワー,静岡県焼津市惣右衛門985-1,,34.81778175,138.3181132,(054)625-0128,市有,津波避難タワー
115,222127,静岡県,焼津市,ポートサイド飯淵タワー,ポートサイドハブチタワー,静岡県焼津市飯淵1995,,34.78165228,138.2880254,(054)625-0128,市有,津波避難タワー
116,222127,静岡県,焼津市,スーパー富士屋　津波避難タワー,スーパーフジヤツナミヒナンタワー,静岡県焼津市田尻北145,,34.83493,138.325134,-,民間,津波避難タワー
117,222127,静岡県,焼津市,（学）常盤学園　新屋幼稚園　津波避難タワー,トキワガクエンアラヤヨウチエンツナミヒナンタワー,静岡県焼津市本町一丁目135,,34.868827,138.321935,-,民間,津波避難タワー
118,222127,静岡県,焼津市,（学）常盤学園　西町幼稚園　津波避難タワー,トキワガクエンニシマチヨウチエンツナミヒナンタワー,静岡県焼津市大村一丁目2,,34.874582,138.308145,-,民間,津波避難タワー
119,222127,静岡県,焼津市,（学）齋藤学園　焼津中央幼稚園　津波避難タワー,サイトウガクエンヤイヅチュウオウヨウチエンツナミヒナンタワー,静岡県焼津市西小川一丁目2-13,,34.860717,138.31175,-,民間,津波避難タワー
120,222127,静岡県,焼津市,焼津水産化学工業株式会社　津波避難タワー,ヤイヅスイサンカガクコウギョウカブシキガイシャツナミヒナンタワー,静岡県焼津市田尻2367-1,,34.8218,138.327515,-,民間,津波避難タワー
121,222127,静岡県,焼津市,こすぎ山,コスギヤマ,静岡県焼津市藤守1884-2,,34.81196095,138.3207117,(054)625-0128,市有,高台広場
122,222127,静岡県,焼津市,高新田中央防災広場,タカシンデンチュウオウボウサイヒロバ,静岡県焼津市高新田954-1,,34.79762611,138.3064094,(054)625-0128,市有,高台広場
123,222127,静岡県,焼津市,港が見える丘防災広場,ミナトガミエルオカボウサイヒロバ,静岡県焼津市利右衛門2657-3,,34.78267815,138.297178,(054)625-0128,市有,高台広場
124,222127,静岡県,焼津市,一色浜防災広場,イッシキハマボウサイヒロバ,静岡県焼津市一色1545-186,,34.81516816,138.3242864,(054)625-0128,市有,高台広場
125,222127,静岡県,焼津市,大井川港防災広場,オオイガワコウボウサイヒロバ,静岡県焼津市飯淵2096-1,,34.78059887,138.2961254,(054)625-0128,市有,高台広場
